n; comparisons; ; ; ; ; ; ; ; ; ; moves;
100; 534; 556; 526; 536; 490; 526; 471; 567; 683; 552; 257; 302; 269; 307; 274; 283; 251; 324; 376; 243; 
200; 1266; 1381; 1166; 1285; 1327; 1332; 1333; 1228; 1185; 1361; 660; 732; 590; 594; 699; 703; 665; 550; 586; 655; 
300; 2043; 2481; 2128; 2076; 2677; 2116; 2006; 2045; 2289; 2320; 950; 1138; 1001; 969; 1300; 1094; 958; 976; 1114; 1106; 
400; 2929; 2731; 3236; 2843; 3612; 3185; 3133; 3068; 2982; 2921; 1395; 1274; 1742; 1401; 1813; 1577; 1615; 1537; 1455; 1444; 
500; 3659; 4216; 4109; 3921; 3902; 4480; 4023; 4165; 3822; 3825; 1758; 1996; 1905; 1869; 1871; 2098; 2000; 1918; 1853; 1774; 
600; 4925; 4849; 4594; 4802; 4949; 5080; 4678; 5194; 5181; 5023; 2384; 2187; 2194; 2242; 2207; 2241; 2217; 2583; 2234; 2598; 
700; 6006; 6189; 5570; 5515; 5695; 6083; 6157; 6137; 5869; 6176; 2464; 3031; 2577; 2603; 2485; 2634; 2760; 2972; 2751; 3154; 
800; 7172; 7076; 7753; 7586; 6634; 7035; 6339; 6388; 6724; 7361; 3170; 3529; 3882; 3761; 2992; 3180; 3046; 2781; 2912; 2997; 
900; 7591; 8379; 8323; 8009; 8455; 7637; 7790; 9576; 8681; 7952; 3503; 3824; 4115; 3763; 3354; 3458; 3708; 4099; 4120; 3803; 
1000; 8959; 8767; 8931; 9599; 9150; 9102; 9649; 9835; 8430; 9575; 4474; 4065; 4163; 4308; 4292; 4261; 4045; 4810; 3436; 4565; 
