n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; moves;
100; 513; 523; 490; 539; 532; 565; 527; 523; 535; 474; 553; 460; 480; 543; 550; 562; 569; 527; 501; 523; 508; 487; 503; 554; 499; 511; 514; 611; 657; 479; 539; 523; 537; 591; 536; 507; 552; 526; 659; 616; 524; 549; 542; 702; 520; 627; 591; 552; 517; 491; 491; 524; 520; 525; 545; 567; 524; 503; 534; 501; 550; 477; 596; 548; 537; 569; 489; 556; 532; 481; 545; 494; 491; 543; 489; 646; 524; 539; 568; 491; 498; 560; 570; 526; 539; 605; 511; 537; 524; 513; 507; 500; 483; 518; 493; 501; 541; 529; 522; 547; 279; 268; 269; 257; 302; 313; 278; 276; 255; 236; 305; 240; 231; 258; 302; 280; 296; 278; 262; 282; 232; 265; 280; 284; 278; 280; 264; 319; 365; 241; 309; 290; 261; 341; 270; 254; 262; 284; 354; 319; 274; 286; 284; 381; 233; 341; 256; 315; 262; 244; 250; 291; 284; 291; 281; 315; 261; 281; 301; 267; 285; 246; 312; 299; 279; 247; 250; 279; 294; 251; 271; 248; 259; 275; 268; 338; 269; 291; 290; 280; 242; 263; 321; 249; 293; 342; 271; 292; 242; 287; 276; 273; 257; 245; 266; 273; 299; 264; 250; 275; 
200; 1110; 1544; 1337; 1288; 1207; 1331; 1187; 1183; 1464; 1367; 1185; 1326; 1182; 1386; 1142; 1291; 1237; 1391; 1127; 1230; 1183; 1278; 1388; 1130; 1290; 1476; 1190; 1288; 1374; 1566; 1188; 1309; 1265; 1228; 1292; 1492; 1186; 1206; 1415; 1241; 1536; 1254; 1345; 1270; 1223; 1366; 1435; 1249; 1518; 1541; 1162; 1293; 1219; 1296; 1311; 1271; 1200; 1164; 1472; 1381; 1208; 1227; 1274; 1231; 1222; 1320; 1483; 1322; 1361; 1256; 1390; 1496; 1372; 1179; 1539; 1406; 1569; 1281; 1290; 1436; 1252; 1315; 1254; 1187; 1593; 1186; 1379; 1182; 1418; 1403; 1251; 1259; 1487; 1298; 1209; 1190; 1246; 1221; 1461; 1682; 566; 726; 616; 669; 502; 700; 632; 607; 737; 743; 561; 689; 627; 711; 560; 657; 586; 633; 574; 610; 578; 663; 609; 541; 665; 695; 607; 552; 641; 768; 592; 681; 567; 653; 591; 771; 616; 587; 736; 642; 789; 556; 687; 579; 583; 632; 611; 615; 767; 752; 576; 668; 616; 645; 667; 569; 562; 561; 657; 713; 609; 649; 658; 632; 630; 695; 747; 614; 623; 597; 737; 762; 718; 534; 781; 692; 785; 645; 661; 708; 629; 592; 634; 613; 742; 600; 717; 578; 736; 634; 643; 602; 722; 612; 607; 597; 613; 569; 786; 750; 
300; 1917; 1958; 2244; 2233; 2222; 2148; 2555; 2192; 1958; 2264; 2221; 2001; 1933; 2059; 2122; 2203; 2115; 1943; 2190; 2246; 2489; 2138; 2067; 2341; 2180; 2030; 2027; 2092; 1919; 2124; 2466; 1918; 2410; 2421; 2099; 2344; 2191; 1969; 2161; 2510; 2288; 2294; 2559; 2086; 2121; 2077; 2042; 1974; 2130; 2445; 2136; 2083; 2260; 2222; 2155; 2014; 2007; 1964; 2108; 2080; 2206; 2247; 2052; 2186; 1996; 2075; 2460; 2062; 2361; 2097; 2221; 2135; 2369; 2111; 1918; 2007; 2150; 1992; 1980; 2125; 2588; 2188; 2025; 2134; 2115; 2231; 2113; 2131; 2006; 2205; 2189; 2139; 2049; 2044; 2315; 2250; 2272; 2042; 1966; 1866; 928; 985; 1147; 1089; 1133; 1088; 1308; 1124; 987; 1055; 1210; 959; 947; 979; 925; 1029; 1048; 930; 1090; 1089; 1268; 978; 1053; 1159; 1045; 997; 984; 1060; 907; 1069; 1295; 912; 1170; 1245; 1008; 1050; 954; 964; 1036; 1243; 1077; 1153; 1024; 1018; 1071; 974; 880; 942; 961; 1144; 1090; 1013; 1147; 1026; 1067; 964; 1035; 987; 1023; 977; 1088; 1044; 1030; 1089; 1037; 973; 1077; 1061; 1197; 1086; 1012; 1099; 995; 1044; 933; 912; 1080; 992; 963; 1001; 1323; 980; 984; 982; 1069; 1072; 1028; 1083; 957; 1061; 867; 1067; 985; 951; 1194; 986; 893; 1033; 915; 886; 
400; 2920; 3098; 3046; 3108; 3006; 3169; 3226; 2928; 3133; 3211; 2864; 2987; 2893; 3126; 3124; 2956; 3298; 3201; 2989; 3068; 3246; 3037; 3443; 2897; 3757; 2904; 2896; 2934; 3013; 3321; 2694; 3103; 2755; 2781; 3352; 3373; 2904; 2993; 3797; 3734; 2890; 2777; 3172; 3001; 3141; 2937; 2901; 2910; 3036; 2848; 3162; 3144; 3190; 3087; 3472; 3053; 2923; 3402; 2999; 3291; 3030; 2972; 2821; 3101; 2839; 2796; 3371; 2950; 2870; 3087; 2965; 2854; 3022; 3712; 3094; 3280; 3193; 3005; 2939; 2862; 2729; 2936; 2795; 3246; 3393; 2999; 2878; 3092; 2949; 2855; 3125; 3045; 3182; 3025; 2710; 3064; 3050; 2760; 3129; 3215; 1442; 1416; 1339; 1503; 1568; 1432; 1419; 1271; 1591; 1533; 1320; 1422; 1400; 1642; 1540; 1482; 1453; 1585; 1500; 1366; 1612; 1263; 1728; 1405; 1862; 1269; 1395; 1301; 1418; 1580; 1333; 1463; 1366; 1378; 1595; 1668; 1478; 1445; 1892; 1772; 1495; 1378; 1537; 1374; 1533; 1370; 1354; 1415; 1500; 1345; 1472; 1535; 1460; 1388; 1650; 1542; 1498; 1755; 1327; 1526; 1379; 1440; 1283; 1503; 1264; 1382; 1709; 1511; 1388; 1630; 1516; 1437; 1496; 1778; 1552; 1579; 1629; 1482; 1347; 1365; 1283; 1413; 1272; 1581; 1719; 1466; 1297; 1368; 1472; 1382; 1557; 1614; 1459; 1360; 1307; 1534; 1439; 1340; 1480; 1492; 
500; 3582; 3970; 3784; 3716; 3877; 4415; 3823; 4126; 4522; 4982; 3922; 3968; 3861; 4498; 3748; 3981; 3827; 3842; 3708; 3897; 4017; 3730; 4179; 4587; 4071; 4843; 3912; 3942; 3831; 4112; 3860; 3880; 3889; 4403; 4031; 4077; 3866; 4124; 3814; 4052; 3998; 4019; 3917; 5563; 3708; 4282; 4232; 3728; 3892; 3787; 3816; 3713; 3950; 5137; 4027; 4372; 4211; 4133; 3869; 4267; 4011; 4106; 3805; 4425; 3595; 4224; 3894; 4642; 3884; 3917; 3744; 3883; 3775; 4787; 3702; 4815; 3810; 4155; 4324; 4016; 3714; 4579; 3893; 4593; 4364; 4058; 3820; 4381; 3812; 3605; 3858; 3638; 4052; 3935; 4172; 4090; 4024; 3759; 3928; 4262; 1634; 1838; 1686; 1816; 1904; 2024; 1705; 1848; 2108; 2091; 1892; 1799; 1783; 1858; 1818; 1962; 1812; 1562; 1829; 1813; 1789; 1849; 2023; 2152; 1895; 2306; 1921; 1850; 1782; 1973; 1691; 1761; 1754; 2147; 1790; 1926; 1921; 1788; 1746; 1896; 1842; 1940; 1719; 2707; 1832; 2055; 1964; 1817; 1819; 1583; 1699; 1751; 1813; 2477; 1563; 2175; 2081; 1907; 1748; 2207; 1861; 1818; 1826; 1980; 1800; 2031; 1912; 2087; 1806; 1960; 1778; 1699; 1907; 2062; 1866; 2483; 1918; 2001; 2014; 1847; 1771; 2023; 1639; 2308; 2192; 1744; 1799; 1941; 1766; 1691; 1926; 1700; 1837; 1963; 2083; 1961; 1910; 1774; 1922; 2212; 
600; 4840; 5026; 4718; 4677; 4817; 4598; 4546; 4833; 4650; 5319; 4832; 4648; 4870; 5222; 4786; 4933; 4801; 4674; 4969; 5174; 4657; 4989; 5072; 4962; 4862; 5585; 4919; 5110; 5135; 4938; 4629; 5624; 4905; 4926; 5011; 4549; 4533; 4629; 4607; 4540; 5420; 4999; 4785; 4797; 4687; 4670; 4952; 4999; 4707; 4828; 4799; 4827; 5105; 5493; 4878; 4660; 4628; 5199; 4904; 5056; 4612; 5657; 5133; 4936; 5266; 4609; 4698; 5372; 5304; 4732; 4581; 4563; 5167; 5272; 4752; 4834; 4959; 4737; 4986; 4557; 5031; 4447; 4503; 4752; 4750; 4727; 5049; 4962; 4719; 5515; 4711; 5434; 5160; 4755; 5247; 4915; 4758; 4881; 5249; 5644; 2273; 2227; 2283; 2201; 2288; 2185; 2237; 2196; 2227; 2674; 2293; 2128; 2281; 2267; 2411; 2191; 2181; 1970; 2377; 2096; 2189; 2380; 2289; 2400; 2267; 2605; 2275; 2421; 2424; 2375; 2189; 2733; 2317; 2329; 2238; 2281; 2224; 2048; 2257; 2016; 2595; 2316; 2267; 2236; 2359; 2077; 2021; 2295; 2253; 2377; 2190; 2242; 2272; 2613; 2142; 2161; 2290; 2538; 2397; 2071; 2079; 2388; 2512; 2457; 2512; 2221; 2064; 2522; 2523; 2143; 2107; 2259; 2462; 2636; 2195; 2272; 2143; 2148; 2359; 2145; 2519; 2129; 2154; 2206; 2337; 2314; 2319; 2456; 2200; 2682; 2127; 2397; 2424; 2095; 2321; 2048; 2148; 2116; 2612; 2816; 
700; 6693; 5777; 5781; 5893; 5500; 5790; 5965; 6257; 6308; 6094; 5716; 5855; 5523; 6127; 6495; 5971; 5320; 5673; 5908; 5667; 5710; 5556; 5425; 6136; 5510; 5536; 5806; 5770; 6114; 5652; 5666; 6120; 6030; 5420; 5707; 6709; 5606; 5920; 5993; 5413; 5817; 5813; 5901; 5532; 5959; 6089; 5575; 5385; 6596; 5500; 6368; 6652; 6814; 5799; 6237; 5904; 5837; 5771; 5884; 5478; 6410; 5837; 6035; 5660; 5794; 5942; 5553; 5663; 5662; 6000; 6066; 5695; 5843; 5699; 5756; 5620; 6003; 5965; 5545; 5668; 5848; 5683; 5462; 6207; 5656; 5744; 5588; 5353; 6351; 6654; 5798; 5751; 5743; 5953; 6625; 6092; 5666; 6688; 6189; 5962; 3146; 2745; 2895; 2825; 2631; 2814; 2939; 2831; 2934; 2595; 2609; 2678; 2493; 2892; 2980; 2934; 2560; 2885; 2804; 2745; 2669; 2526; 2485; 2738; 2707; 2521; 2663; 2774; 2769; 2612; 2703; 2967; 2980; 2443; 2770; 3238; 2431; 2720; 2893; 2587; 2566; 2745; 2848; 2686; 2926; 2639; 2478; 2500; 3181; 2631; 3112; 2615; 3397; 2704; 2885; 2459; 2861; 2689; 2737; 2700; 2947; 2840; 2953; 2709; 2847; 2938; 2559; 2685; 2803; 2729; 2519; 2476; 2688; 2715; 2789; 2560; 2881; 2733; 2553; 2633; 2926; 2649; 2572; 2475; 2711; 2696; 2608; 2489; 2946; 3310; 2757; 2802; 2876; 2733; 3064; 2940; 2560; 3360; 3143; 2925; 
800; 7635; 6558; 7761; 6450; 7136; 7020; 6971; 6610; 6554; 7985; 6178; 7210; 6271; 6864; 6580; 6833; 7191; 7046; 7083; 6300; 6625; 6424; 7532; 8266; 7057; 7400; 7099; 6886; 6831; 6882; 7394; 6870; 6938; 7500; 6872; 7119; 6442; 7522; 6550; 6411; 6612; 7591; 7228; 7553; 7841; 7631; 7194; 7765; 6744; 7413; 7017; 6173; 6694; 7660; 7590; 6784; 8313; 6544; 8871; 7347; 6991; 6488; 6530; 8094; 6804; 7288; 8389; 6678; 6694; 7620; 8351; 6785; 6818; 6573; 6375; 7501; 7255; 6542; 6997; 6284; 6483; 7009; 6734; 7193; 7117; 6862; 6643; 7351; 6465; 6809; 6714; 6417; 7856; 7435; 6580; 7378; 6754; 7318; 6781; 6699; 3508; 3171; 3544; 3090; 2897; 3005; 2905; 2910; 3001; 3816; 2954; 2869; 2872; 3322; 3152; 3149; 3198; 3158; 3514; 2778; 3049; 3111; 3575; 3705; 3335; 3677; 3659; 2983; 3170; 3253; 3014; 3304; 3389; 3198; 3128; 3470; 2765; 3564; 2810; 2968; 3076; 3578; 3523; 3754; 3486; 3910; 3655; 3778; 3070; 3655; 3300; 2945; 2958; 3868; 3738; 3248; 3669; 2773; 4173; 3627; 3382; 3111; 3009; 3005; 3193; 3226; 3930; 3124; 3211; 3463; 4094; 3207; 2721; 3251; 3081; 3585; 3383; 2985; 3288; 2927; 3087; 3056; 3171; 3313; 3284; 3196; 2995; 3297; 3053; 3287; 3005; 2985; 3787; 3347; 2958; 3418; 3063; 3332; 3070; 2785; 
900; 7992; 8343; 8941; 8300; 8905; 8788; 7348; 8080; 7656; 8218; 7973; 8564; 7691; 7360; 8521; 7372; 7496; 7740; 7654; 7599; 7781; 7573; 9407; 7738; 8413; 7650; 8600; 7905; 8062; 7713; 8149; 8225; 6868; 7407; 7803; 9008; 7666; 8097; 8116; 7554; 7713; 8024; 7906; 7999; 7906; 8021; 8215; 8814; 7612; 8198; 7747; 8739; 8266; 7798; 7933; 7613; 8270; 7427; 8215; 8271; 7238; 7745; 7559; 7607; 7783; 8434; 7818; 8108; 7575; 8092; 7482; 7289; 7704; 8422; 7879; 7768; 8111; 7852; 7741; 7734; 7670; 8063; 7854; 7680; 7329; 7917; 8826; 8000; 7356; 7454; 7369; 7670; 7595; 8066; 9103; 8261; 7383; 8798; 8825; 8002; 3451; 4129; 4238; 4097; 3901; 3762; 3394; 3355; 3297; 3480; 3696; 4211; 3633; 3342; 3815; 3358; 3603; 3680; 3267; 3392; 3775; 3424; 4309; 3766; 4226; 3540; 4023; 3829; 3762; 3501; 3753; 3882; 3259; 3421; 3752; 4288; 3563; 3707; 3717; 3310; 3511; 3823; 3457; 3818; 3336; 3833; 3443; 4227; 3374; 3777; 3628; 4162; 3725; 3685; 3581; 3627; 4193; 3298; 3668; 3664; 3210; 3498; 3475; 3540; 3711; 4355; 3628; 3721; 3519; 3749; 3251; 3276; 3659; 3968; 3573; 3636; 3726; 3656; 3535; 3460; 3433; 3487; 3604; 3542; 3433; 3755; 3902; 3517; 3338; 3438; 3352; 3555; 3582; 3760; 3953; 3949; 3448; 4047; 3911; 3598; 
1000; 8607; 9221; 8491; 8982; 9357; 9230; 8172; 9040; 9313; 9276; 8311; 9967; 9883; 10133; 8439; 9947; 8870; 8793; 8450; 8745; 10324; 8446; 8908; 8715; 9277; 8950; 9500; 10052; 9152; 8887; 9229; 9290; 8652; 9516; 11527; 8822; 9427; 9713; 9282; 9154; 9411; 10002; 9151; 8737; 9378; 8551; 9560; 8699; 11314; 9162; 8472; 8913; 9041; 9769; 9663; 8756; 9032; 9466; 8944; 8775; 8571; 10079; 8652; 8847; 8469; 8834; 10088; 9122; 9312; 8377; 9685; 8969; 9920; 8843; 9047; 8935; 9825; 8699; 9040; 9136; 8889; 9401; 8756; 9697; 9505; 9679; 8829; 8374; 10086; 9672; 9200; 8420; 8996; 8355; 8816; 8374; 9168; 8749; 9179; 9098; 3936; 4197; 3864; 4029; 4157; 4449; 3753; 3972; 4065; 4376; 3792; 4728; 4357; 4931; 3694; 4580; 4182; 4028; 4090; 4038; 4804; 3798; 4164; 4147; 4038; 4127; 4419; 4961; 4402; 3943; 4352; 4212; 4091; 4365; 5014; 4032; 4157; 4438; 3762; 4289; 4570; 4517; 4268; 3875; 4481; 3835; 4431; 4057; 5157; 3993; 3974; 3843; 4047; 4720; 4709; 3687; 4338; 4201; 4165; 4112; 3739; 4491; 3920; 3945; 3780; 3846; 4773; 4313; 4340; 4005; 3982; 4139; 3928; 3827; 3786; 4128; 4832; 3970; 4063; 4222; 4117; 4241; 3843; 4664; 4080; 4336; 3995; 3655; 4480; 4582; 4219; 3918; 4263; 3805; 4163; 4048; 4233; 4060; 3907; 4378; 
