n; comparisons; ; ; ; ; ; ; ; ; ; moves;
100; 818; 864; 911; 815; 853; 872; 891; 896; 793; 820; 351; 350; 378; 233; 366; 323; 370; 372; 321; 278; 
200; 2165; 2588; 2421; 2165; 2542; 2854; 2319; 2693; 2081; 2484; 880; 1138; 1042; 829; 980; 1195; 931; 1064; 804; 803; 
300; 3662; 3711; 3862; 4311; 3803; 3655; 3399; 3611; 4687; 3483; 1523; 1356; 1482; 1751; 1461; 1402; 1313; 1497; 1986; 1300; 
400; 4915; 5131; 5316; 5374; 5498; 6005; 4852; 5341; 5407; 4615; 1751; 2019; 2144; 2133; 2027; 2529; 1848; 1937; 1862; 1619; 
500; 8314; 6775; 7835; 7951; 7741; 6862; 7878; 7003; 6153; 6694; 3231; 2761; 3141; 3212; 3019; 2412; 2938; 2667; 2080; 2546; 
600; 9007; 8347; 8067; 7953; 8138; 9779; 8011; 8566; 8956; 8056; 3450; 3111; 2912; 2542; 2994; 3737; 3076; 3152; 3532; 3002; 
700; 9971; 9934; 10073; 10108; 11404; 11431; 11695; 10029; 10556; 10008; 3489; 3571; 3844; 3796; 4467; 4243; 4506; 3310; 3746; 3689; 
800; 12505; 13381; 11903; 11712; 11463; 11645; 13138; 11671; 12384; 12265; 4631; 5588; 4495; 4388; 4407; 4149; 4809; 4285; 4452; 4515; 
900; 14056; 13694; 12891; 16213; 13308; 14804; 17500; 13786; 14364; 13664; 5439; 5201; 4975; 6286; 4938; 4756; 6905; 5230; 5435; 4909; 
1000; 16783; 15085; 14961; 15194; 16114; 15956; 17370; 15778; 14595; 15010; 6163; 5491; 5378; 5430; 5879; 5432; 6635; 6117; 5621; 5418; 
