n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; moves;
100; 1156; 1012; 1037; 872; 861; 896; 931; 883; 871; 775; 969; 1249; 1025; 828; 1009; 764; 868; 1085; 863; 862; 840; 1051; 789; 888; 877; 1077; 1016; 1045; 922; 843; 880; 911; 852; 1027; 962; 791; 939; 953; 863; 1038; 832; 1135; 820; 963; 1012; 909; 911; 1114; 808; 922; 977; 1010; 816; 757; 947; 1026; 849; 1063; 808; 869; 909; 862; 974; 844; 1052; 1089; 892; 1202; 837; 972; 1038; 961; 914; 947; 856; 1247; 773; 744; 897; 834; 945; 895; 1172; 943; 891; 791; 1053; 842; 937; 1104; 1002; 840; 972; 858; 958; 881; 885; 994; 862; 833; 523; 430; 404; 328; 364; 401; 400; 370; 367; 280; 392; 442; 454; 316; 418; 274; 362; 489; 370; 352; 321; 436; 302; 313; 373; 442; 423; 439; 318; 367; 319; 391; 351; 448; 342; 263; 372; 310; 329; 458; 315; 396; 305; 400; 417; 383; 390; 464; 343; 392; 407; 445; 332; 293; 393; 446; 383; 454; 349; 347; 310; 316; 404; 319; 447; 465; 363; 523; 304; 394; 481; 385; 407; 375; 293; 550; 270; 284; 326; 333; 394; 339; 513; 409; 365; 233; 462; 356; 353; 421; 438; 303; 382; 360; 384; 314; 351; 412; 368; 338; 
200; 1925; 2183; 1950; 2679; 2208; 2774; 2285; 2430; 2419; 2011; 2191; 2549; 2541; 2245; 2314; 2294; 2052; 2982; 2489; 2513; 1976; 2221; 2449; 2227; 2458; 2444; 2243; 2257; 2052; 2201; 2282; 2178; 2555; 2073; 2062; 2084; 2320; 2628; 2209; 2150; 2204; 2527; 2240; 2438; 2236; 2476; 2081; 2433; 1981; 2347; 2347; 2661; 2391; 2080; 2393; 2287; 2392; 2502; 2281; 2208; 2598; 2514; 3029; 2008; 2440; 2439; 2459; 2661; 2192; 2304; 2027; 2156; 2449; 2138; 2480; 2436; 2190; 2435; 2207; 2006; 2512; 2580; 2272; 2368; 2347; 2047; 2339; 2070; 2039; 2382; 2047; 2929; 2207; 2330; 2237; 2075; 2103; 2282; 2285; 2318; 712; 890; 748; 996; 925; 1167; 816; 852; 947; 785; 905; 1026; 1065; 778; 905; 962; 701; 1240; 1068; 1042; 764; 916; 1008; 945; 979; 975; 878; 866; 788; 946; 756; 781; 1072; 784; 716; 831; 989; 1042; 752; 881; 853; 895; 887; 1076; 842; 1053; 743; 974; 705; 903; 982; 1082; 993; 845; 879; 856; 1051; 1094; 807; 871; 1136; 1023; 1192; 811; 1037; 906; 955; 1138; 788; 880; 734; 815; 1010; 791; 1037; 924; 859; 733; 883; 772; 1003; 999; 896; 1022; 843; 821; 908; 894; 846; 832; 726; 1173; 837; 873; 925; 855; 856; 864; 988; 931; 
300; 3822; 3975; 3535; 3346; 3647; 3562; 4442; 3708; 3831; 3852; 3825; 3883; 3466; 4148; 3727; 4154; 4225; 3366; 3430; 3445; 3359; 3902; 3601; 3412; 3463; 3738; 3693; 4603; 3647; 3727; 3703; 3972; 3489; 3434; 4313; 3563; 4920; 3605; 3736; 3854; 3706; 4009; 3279; 3969; 3757; 3616; 4279; 3519; 3585; 4064; 3696; 3371; 4068; 3469; 3449; 4231; 3795; 4231; 3921; 3449; 3709; 4045; 3613; 3700; 4651; 3753; 3612; 3560; 3759; 4105; 3540; 3958; 4600; 3591; 3218; 3913; 3921; 4273; 3682; 3385; 3336; 3821; 3515; 3484; 3377; 3358; 3744; 3317; 3680; 3777; 3595; 3360; 4006; 4125; 4081; 3812; 4256; 3282; 3864; 3858; 1484; 1606; 1430; 1345; 1470; 1426; 1704; 1339; 1517; 1512; 1399; 1597; 1296; 1664; 1492; 1608; 1637; 1340; 1388; 1314; 1291; 1348; 1468; 1343; 1362; 1486; 1472; 1843; 1424; 1354; 1427; 1513; 1309; 1371; 1811; 1338; 2131; 1517; 1420; 1364; 1404; 1639; 1216; 1465; 1461; 1322; 1677; 1232; 1505; 1518; 1453; 1178; 1734; 1276; 1179; 1624; 1579; 1547; 1632; 1382; 1335; 1442; 1211; 1469; 1768; 1429; 1248; 1380; 1613; 1397; 1291; 1537; 1728; 1446; 1150; 1548; 1445; 1664; 1412; 1338; 1265; 1583; 1176; 1339; 1286; 1257; 1462; 1136; 1386; 1380; 1375; 1231; 1606; 1666; 1499; 1450; 1654; 1254; 1528; 1425; 
400; 5584; 5692; 5484; 5322; 5104; 5583; 5202; 5375; 4922; 5371; 4833; 5518; 5316; 5332; 5143; 5239; 5110; 7047; 5021; 6128; 5302; 5514; 5710; 5379; 6244; 5328; 5060; 5332; 5075; 5082; 5975; 5356; 6516; 5198; 4924; 4754; 5321; 4986; 5607; 5060; 5861; 5578; 5495; 4849; 5100; 6273; 5095; 5053; 4886; 5674; 5258; 5394; 5164; 5432; 5587; 5089; 5128; 5211; 5842; 5563; 5469; 5934; 4750; 5119; 4984; 5551; 5644; 4937; 5242; 5075; 5196; 4906; 4676; 5612; 5046; 5144; 5539; 5467; 5539; 4938; 5796; 5284; 5093; 5907; 5063; 6736; 5292; 6203; 5343; 5910; 5295; 5056; 6462; 5317; 4977; 5632; 5168; 4757; 5568; 5274; 2213; 2140; 1890; 2069; 2002; 2051; 1992; 2143; 1795; 2016; 1711; 2305; 2048; 2215; 1860; 2160; 2075; 3063; 1798; 2314; 2046; 2035; 2299; 2075; 2563; 1973; 1882; 2012; 1981; 1946; 2561; 2197; 2824; 1967; 1672; 1798; 2051; 1938; 2025; 1812; 2140; 2073; 2153; 1873; 1929; 2310; 2066; 1851; 1754; 2274; 2032; 2054; 1974; 2201; 2198; 1933; 1929; 2090; 2401; 1877; 2121; 2431; 1688; 1978; 1895; 2050; 2152; 1815; 1741; 1851; 2034; 2032; 1774; 2328; 1934; 2011; 2249; 2272; 2241; 1932; 2326; 2010; 2040; 2420; 1942; 2704; 2106; 2606; 2075; 2155; 2167; 1907; 2747; 1904; 1942; 2023; 2005; 1691; 1861; 1883; 
500; 7958; 8029; 6444; 7077; 7300; 7566; 7226; 6799; 6907; 7458; 8076; 6795; 6662; 6686; 6225; 6385; 6944; 8329; 7023; 7130; 7248; 8988; 8460; 7191; 7349; 6802; 6658; 7347; 6682; 7084; 6397; 6186; 7126; 7872; 7049; 7370; 6599; 6900; 7426; 6898; 7057; 6435; 7237; 7364; 6932; 7299; 7260; 7101; 7435; 6798; 7193; 7911; 6843; 6772; 7353; 7219; 6993; 7434; 7106; 6575; 7401; 7338; 8086; 6383; 7651; 9652; 8459; 7012; 6902; 7153; 7022; 6895; 6706; 6495; 8733; 6170; 6612; 7231; 6823; 7714; 6286; 7855; 6247; 7075; 7157; 6823; 8075; 6264; 6132; 6802; 9122; 6525; 6490; 7069; 6812; 6964; 7979; 6872; 8465; 6991; 2931; 3262; 2420; 2544; 2641; 2508; 2927; 2671; 2442; 2908; 3426; 2710; 2564; 2596; 2304; 2440; 2611; 3460; 2748; 2781; 2748; 3747; 3664; 2838; 2925; 2568; 2561; 2550; 2539; 2885; 2459; 2295; 2878; 2996; 2386; 2776; 2425; 2651; 2657; 2607; 2662; 2390; 2756; 2990; 2534; 2771; 2386; 2410; 2766; 2462; 2826; 3155; 2418; 2448; 2929; 2715; 2682; 2918; 2843; 2495; 2818; 2771; 2782; 2466; 3198; 3878; 3277; 2556; 2110; 2601; 2622; 2696; 2609; 2229; 3699; 2216; 2488; 2977; 2616; 3085; 2410; 2763; 2255; 2810; 2680; 2609; 3089; 2367; 2300; 2426; 4075; 2381; 2561; 2750; 2736; 2572; 3155; 2468; 3451; 2457; 
600; 8924; 8658; 8387; 9638; 8078; 8495; 8481; 9071; 8891; 8998; 9337; 9274; 8312; 9139; 8691; 8784; 8214; 9849; 8877; 9173; 9164; 9037; 7961; 8748; 8470; 8964; 8003; 8308; 8378; 8920; 8842; 8636; 8923; 9699; 8103; 8413; 8435; 8081; 8170; 8766; 8753; 8790; 8880; 8236; 8522; 9202; 10309; 8484; 9392; 8546; 8633; 7810; 8279; 8960; 9687; 10238; 7966; 10314; 7762; 7919; 9103; 8860; 10129; 8297; 8848; 8901; 8480; 8356; 11285; 9042; 8786; 8991; 8186; 8750; 8400; 10232; 9315; 8675; 8455; 9501; 8568; 8595; 8733; 8393; 8849; 8978; 9723; 9934; 9353; 9673; 10060; 8707; 9167; 8536; 7547; 8478; 8039; 8339; 8798; 9296; 2887; 3125; 3018; 4183; 2965; 3194; 2999; 3621; 3168; 3229; 3620; 3784; 3200; 3397; 3448; 3490; 3129; 3595; 3289; 3163; 2881; 3644; 2998; 3586; 3152; 3602; 3000; 3233; 3025; 3288; 3598; 3469; 3420; 3137; 3179; 3150; 3355; 2774; 3042; 3582; 3322; 3121; 3588; 2960; 3421; 3558; 4055; 3178; 3545; 3332; 3386; 2484; 3237; 3334; 3914; 3986; 3026; 4221; 2799; 3026; 3592; 3429; 4231; 3215; 3258; 3254; 3165; 3292; 4382; 3737; 3527; 3560; 2880; 3535; 3099; 3695; 3489; 3377; 3309; 3640; 3336; 3502; 3444; 3175; 3369; 3442; 3878; 3960; 3318; 2995; 3820; 3039; 3328; 3394; 2764; 3014; 3115; 3171; 3616; 3792; 
700; 10228; 10366; 11204; 11855; 10163; 11424; 11261; 11364; 9386; 11020; 9844; 10494; 13993; 10924; 10196; 12555; 10721; 10944; 10245; 10341; 11519; 10041; 9094; 11500; 11579; 10160; 10588; 10418; 10968; 10690; 9443; 10801; 9754; 9477; 12562; 9843; 10741; 11445; 10591; 10892; 10989; 9861; 11128; 9545; 9531; 12469; 10461; 10385; 11251; 11866; 11908; 11463; 9385; 9789; 9374; 9762; 10004; 12065; 10132; 10359; 10411; 10202; 10258; 10445; 11554; 11690; 11090; 9985; 11926; 11337; 10350; 11369; 11697; 10213; 9879; 10558; 10831; 10113; 9670; 9829; 10579; 11914; 10392; 9852; 10584; 10764; 10916; 10023; 10454; 10076; 11404; 9539; 12499; 10118; 11434; 10635; 9662; 9834; 11615; 9858; 3485; 4055; 4481; 4879; 3790; 4386; 4154; 3990; 3215; 3714; 3429; 3724; 5755; 4176; 4070; 5250; 3881; 4323; 3989; 4102; 4665; 3919; 3183; 4527; 4781; 4088; 4084; 3544; 3894; 4073; 3658; 4045; 3271; 3566; 5258; 3360; 3984; 4336; 3644; 3990; 4298; 3631; 4553; 3380; 3584; 4846; 3986; 4151; 4363; 4886; 4863; 4308; 3427; 3555; 3413; 3658; 3915; 4889; 4034; 3646; 4130; 4070; 3870; 4210; 4551; 4135; 3765; 3832; 4949; 4616; 3905; 4383; 4523; 3988; 3738; 4169; 3707; 3936; 3469; 3527; 3785; 4311; 4075; 3232; 3758; 4257; 4515; 3530; 3624; 3686; 4040; 3730; 5220; 3951; 3953; 4051; 3687; 3695; 4460; 3722; 
800; 11865; 13053; 14461; 11543; 11525; 12008; 12621; 11588; 13808; 12106; 12668; 12294; 12051; 11725; 13231; 11689; 14092; 11681; 12336; 13567; 12158; 11608; 14242; 13219; 14301; 12279; 11914; 12045; 12688; 12273; 12277; 12794; 11393; 13678; 12955; 13872; 12888; 11515; 13031; 11701; 11874; 11549; 12011; 11489; 12686; 11480; 11852; 13058; 13971; 12509; 13597; 11663; 13222; 12282; 13540; 13227; 12204; 11420; 13090; 12998; 11133; 12709; 12354; 11487; 11769; 13791; 11915; 12844; 11388; 11718; 12578; 13655; 12546; 12368; 11523; 11389; 11853; 12555; 11968; 12536; 11854; 11839; 12382; 12160; 12898; 13530; 12452; 12475; 10798; 11209; 12299; 11377; 13344; 12268; 12278; 12122; 12414; 11672; 11921; 11482; 4480; 4651; 5468; 4297; 4402; 3990; 4920; 4376; 5255; 4940; 4901; 4979; 4425; 4154; 4555; 4656; 5513; 4337; 4610; 4647; 4744; 4494; 5940; 4779; 4916; 4476; 4287; 4391; 5159; 4575; 4780; 5000; 4197; 5321; 5129; 5441; 4840; 4444; 4907; 4034; 4544; 4636; 4513; 4292; 5162; 4023; 4700; 5248; 5304; 4859; 5406; 4422; 4532; 4740; 5138; 4695; 4779; 4250; 4048; 4567; 4286; 5171; 4668; 4285; 4413; 5225; 4336; 4647; 4073; 4469; 4890; 5430; 5014; 4892; 4120; 4258; 4568; 4998; 4506; 4685; 4810; 4328; 4538; 4567; 4278; 4778; 4428; 4672; 4009; 4141; 4706; 4187; 5107; 4169; 4859; 4097; 4771; 4280; 4624; 4578; 
900; 14865; 16247; 13810; 13184; 14520; 15802; 13748; 14524; 13131; 13659; 12956; 14709; 13817; 15580; 13886; 13407; 13729; 17105; 14319; 13275; 13817; 14258; 14611; 13661; 13667; 14048; 15681; 15177; 14127; 15010; 13257; 13679; 15238; 13421; 14334; 14731; 13760; 13857; 14120; 14501; 14685; 13430; 14243; 14955; 14481; 14889; 14211; 14584; 14986; 14728; 13686; 13056; 13592; 14002; 14678; 13312; 15241; 13813; 13649; 13464; 14074; 16405; 13438; 12914; 13672; 13903; 14358; 13272; 14071; 13714; 14396; 13623; 13705; 14675; 13685; 15230; 14250; 15995; 14742; 14355; 13395; 16253; 14589; 13800; 13906; 14556; 14129; 13086; 13414; 14514; 12718; 13986; 13707; 15733; 14452; 14751; 15382; 16386; 16951; 13974; 5595; 6529; 5625; 4972; 5811; 5788; 5425; 5597; 4955; 4925; 5054; 5449; 5044; 5638; 5188; 5056; 4987; 6617; 5151; 4761; 4511; 5444; 5655; 5295; 4837; 5475; 6337; 5741; 5484; 5746; 4621; 5228; 5994; 5204; 5521; 5695; 5577; 5114; 5419; 5278; 5313; 4702; 5633; 5637; 5176; 5906; 5144; 5760; 5111; 5730; 5209; 4541; 4821; 4914; 5775; 4906; 5435; 5321; 4680; 5165; 5475; 6123; 4894; 4547; 4974; 5195; 5131; 5102; 5355; 5026; 4905; 4776; 5235; 5732; 5303; 6155; 5640; 6687; 5893; 5953; 5009; 5580; 5464; 5034; 5156; 5456; 5383; 4948; 5013; 5580; 4301; 5024; 4964; 6250; 5633; 5503; 5838; 6015; 6464; 5177; 
1000; 16328; 16722; 17251; 15269; 15600; 15817; 16769; 17092; 17098; 15579; 15384; 16579; 16620; 15885; 16058; 15958; 14999; 15593; 15015; 17409; 16910; 16609; 17540; 16139; 15943; 15287; 15689; 15784; 16489; 16170; 17430; 18294; 16316; 15572; 21890; 14581; 15890; 16318; 16331; 15294; 14533; 15920; 17101; 20083; 15602; 15971; 14812; 15203; 17493; 16302; 15725; 18366; 14996; 16005; 16204; 15838; 16138; 15398; 15771; 15763; 17872; 18939; 15555; 16324; 15821; 17872; 16186; 14951; 16039; 17409; 15676; 14678; 15335; 16643; 15561; 16874; 15221; 16863; 17150; 15886; 15714; 17431; 15038; 18338; 17036; 16274; 16353; 14888; 15418; 15301; 18996; 18335; 15227; 15685; 14773; 15833; 17141; 15734; 16084; 15367; 5286; 5807; 6665; 5412; 5845; 5675; 6642; 7007; 6419; 5659; 5672; 6529; 6399; 5961; 6097; 5808; 5740; 5566; 5676; 6562; 6627; 6692; 6785; 6145; 5856; 5613; 5638; 6061; 6526; 5610; 6163; 7461; 5935; 5676; 8901; 4995; 5820; 5827; 6426; 5630; 5560; 6356; 6725; 7400; 5799; 6359; 5634; 5526; 6569; 6250; 5710; 6899; 5907; 6138; 6167; 6072; 5852; 5293; 6033; 5452; 6146; 7621; 5932; 5918; 6368; 6506; 6352; 5519; 6414; 6652; 5955; 5335; 5683; 6156; 6053; 6366; 5657; 6042; 6342; 5964; 5880; 6139; 5661; 7590; 6284; 6388; 5950; 5258; 5691; 5297; 6603; 6928; 5382; 5867; 5340; 5388; 6252; 5759; 6437; 5363; 
