n; comparisons; ; ; ; ; ; ; ; ; ; swaps;
100; 2248; 2788; 2455; 2759; 2679; 2591; 2441; 2585; 2802; 2437; 2149; 2689; 2356; 2660; 2580; 2492; 2342; 2486; 2703; 2338; 
200; 11057; 9385; 10164; 10181; 10568; 10284; 10374; 8819; 9925; 10670; 10858; 9186; 9965; 9982; 10369; 10085; 10175; 8620; 9726; 10471; 
300; 24219; 22425; 24353; 22504; 23200; 21866; 22789; 21535; 21166; 23867; 23920; 22126; 24054; 22205; 22901; 21567; 22490; 21236; 20867; 23568; 
400; 39002; 41071; 40830; 42049; 39652; 41456; 40157; 38899; 39723; 41836; 38603; 40672; 40431; 41650; 39253; 41057; 39758; 38500; 39324; 41437; 
500; 63450; 60681; 60927; 63060; 62501; 62920; 66870; 61692; 62178; 62841; 62951; 60182; 60428; 62561; 62002; 62421; 66371; 61193; 61679; 62342; 
600; 88598; 87411; 94263; 92566; 93105; 93100; 92673; 91543; 93230; 88637; 87999; 86812; 93664; 91967; 92506; 92501; 92074; 90944; 92631; 88038; 
700; 122719; 117513; 122109; 126792; 117244; 119098; 121816; 126460; 119088; 119184; 122020; 116814; 121410; 126093; 116545; 118399; 121117; 125761; 118389; 118485; 
800; 164515; 163189; 163592; 173019; 161545; 161949; 163552; 165627; 161983; 158106; 163716; 162390; 162793; 172220; 160746; 161150; 162753; 164828; 161184; 157307; 
900; 202284; 205399; 200532; 209158; 203320; 202131; 202208; 212573; 206738; 197006; 201385; 204500; 199633; 208259; 202421; 201232; 201309; 211674; 205839; 196107; 
1000; 247791; 264006; 246085; 249910; 256523; 250770; 255514; 253064; 246825; 252559; 246792; 263007; 245086; 248911; 255524; 249771; 254515; 252065; 245826; 251560; 
