n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; moves;
100; 1211; 1223; 1215; 1212; 1215; 1204; 1212; 1210; 1214; 1224; 1213; 1208; 1214; 1205; 1213; 1217; 1223; 1211; 1209; 1209; 1218; 1221; 1208; 1222; 1220; 1209; 1217; 1217; 1224; 1214; 1214; 1209; 1218; 1219; 1216; 1214; 1212; 1214; 1211; 1210; 1214; 1205; 1213; 1208; 1214; 1208; 1212; 1210; 1220; 1211; 1223; 1206; 1215; 1205; 1209; 1215; 1213; 1209; 1208; 1223; 1224; 1205; 1214; 1204; 1215; 1214; 1215; 1200; 1219; 1207; 1204; 1222; 1211; 1213; 1219; 1218; 1207; 1222; 1207; 1214; 1207; 1212; 1213; 1221; 1215; 1217; 1208; 1212; 1211; 1210; 1209; 1217; 1213; 1215; 1213; 1214; 1206; 1209; 1213; 1212; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 672; 
200; 2818; 2823; 2828; 2823; 2833; 2830; 2809; 2828; 2845; 2807; 2819; 2836; 2842; 2826; 2831; 2841; 2843; 2829; 2820; 2808; 2816; 2822; 2813; 2816; 2823; 2819; 2822; 2825; 2823; 2817; 2811; 2821; 2826; 2802; 2835; 2841; 2817; 2828; 2841; 2816; 2823; 2825; 2818; 2825; 2827; 2821; 2825; 2819; 2819; 2819; 2830; 2842; 2812; 2820; 2831; 2833; 2822; 2828; 2833; 2819; 2820; 2842; 2832; 2819; 2824; 2817; 2840; 2821; 2830; 2833; 2809; 2812; 2820; 2828; 2830; 2818; 2832; 2832; 2831; 2827; 2825; 2820; 2800; 2838; 2843; 2826; 2830; 2832; 2825; 2832; 2826; 2824; 2829; 2829; 2831; 2825; 2835; 2812; 2822; 2834; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 1544; 
300; 4581; 4595; 4591; 4591; 4583; 4585; 4583; 4582; 4567; 4563; 4584; 4588; 4587; 4568; 4596; 4594; 4583; 4577; 4588; 4582; 4577; 4587; 4586; 4568; 4573; 4574; 4583; 4576; 4582; 4584; 4574; 4576; 4597; 4596; 4595; 4576; 4584; 4586; 4568; 4594; 4582; 4583; 4591; 4563; 4610; 4585; 4585; 4594; 4584; 4598; 4590; 4590; 4601; 4596; 4565; 4595; 4592; 4596; 4596; 4598; 4590; 4585; 4597; 4594; 4581; 4586; 4584; 4579; 4598; 4571; 4599; 4584; 4582; 4578; 4579; 4591; 4586; 4591; 4596; 4593; 4593; 4587; 4597; 4571; 4580; 4598; 4579; 4581; 4600; 4594; 4594; 4576; 4586; 4577; 4586; 4586; 4572; 4596; 4592; 4567; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 2488; 
400; 6450; 6458; 6458; 6463; 6467; 6467; 6438; 6454; 6453; 6464; 6470; 6431; 6459; 6458; 6444; 6432; 6452; 6455; 6442; 6441; 6457; 6435; 6454; 6437; 6440; 6471; 6455; 6451; 6437; 6445; 6450; 6437; 6442; 6444; 6434; 6441; 6448; 6442; 6465; 6450; 6450; 6471; 6440; 6452; 6452; 6463; 6451; 6451; 6447; 6445; 6470; 6449; 6448; 6440; 6430; 6445; 6457; 6443; 6448; 6418; 6444; 6452; 6460; 6478; 6462; 6447; 6460; 6442; 6446; 6448; 6435; 6439; 6454; 6439; 6444; 6448; 6452; 6479; 6473; 6454; 6442; 6477; 6444; 6449; 6448; 6466; 6438; 6452; 6440; 6474; 6447; 6457; 6440; 6440; 6434; 6451; 6458; 6419; 6450; 6455; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 3488; 
500; 8332; 8349; 8332; 8348; 8348; 8346; 8352; 8340; 8339; 8333; 8346; 8358; 8358; 8332; 8342; 8346; 8341; 8354; 8339; 8352; 8350; 8350; 8335; 8331; 8339; 8352; 8343; 8341; 8338; 8349; 8331; 8333; 8337; 8320; 8344; 8343; 8354; 8339; 8346; 8340; 8357; 8358; 8348; 8350; 8335; 8346; 8350; 8360; 8332; 8343; 8352; 8332; 8353; 8338; 8340; 8355; 8353; 8365; 8333; 8346; 8335; 8350; 8357; 8325; 8356; 8350; 8345; 8335; 8315; 8335; 8335; 8340; 8372; 8340; 8352; 8336; 8333; 8353; 8330; 8365; 8333; 8334; 8346; 8353; 8354; 8335; 8343; 8326; 8340; 8346; 8350; 8309; 8333; 8343; 8325; 8356; 8351; 8353; 8347; 8347; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 4488; 
600; 10369; 10373; 10377; 10371; 10378; 10354; 10372; 10353; 10370; 10351; 10375; 10357; 10383; 10365; 10363; 10372; 10343; 10357; 10369; 10380; 10370; 10356; 10374; 10384; 10354; 10370; 10386; 10373; 10363; 10352; 10364; 10382; 10386; 10368; 10379; 10363; 10384; 10365; 10344; 10354; 10392; 10362; 10369; 10355; 10371; 10363; 10336; 10357; 10374; 10359; 10375; 10372; 10349; 10378; 10353; 10388; 10352; 10347; 10371; 10375; 10367; 10386; 10353; 10349; 10378; 10362; 10366; 10387; 10390; 10377; 10394; 10372; 10384; 10376; 10367; 10385; 10367; 10360; 10372; 10363; 10373; 10378; 10383; 10369; 10351; 10335; 10383; 10381; 10404; 10369; 10378; 10366; 10365; 10376; 10368; 10395; 10381; 10386; 10376; 10393; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 5576; 
700; 12385; 12418; 12419; 12427; 12428; 12431; 12429; 12385; 12446; 12448; 12408; 12410; 12441; 12412; 12422; 12409; 12412; 12411; 12420; 12459; 12432; 12420; 12425; 12419; 12438; 12436; 12409; 12405; 12420; 12424; 12409; 12430; 12435; 12412; 12426; 12377; 12422; 12423; 12417; 12402; 12431; 12411; 12416; 12426; 12433; 12439; 12427; 12420; 12426; 12426; 12427; 12425; 12431; 12406; 12429; 12448; 12435; 12375; 12451; 12421; 12441; 12462; 12409; 12427; 12442; 12433; 12405; 12414; 12431; 12407; 12435; 12431; 12448; 12442; 12418; 12436; 12421; 12424; 12420; 12439; 12444; 12422; 12396; 12408; 12419; 12415; 12435; 12396; 12432; 12394; 12418; 12442; 12429; 12451; 12444; 12424; 12445; 12411; 12434; 12419; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 6676; 
800; 14498; 14477; 14510; 14510; 14522; 14512; 14498; 14491; 14493; 14504; 14483; 14496; 14505; 14489; 14488; 14497; 14498; 14500; 14480; 14475; 14490; 14512; 14488; 14494; 14489; 14503; 14525; 14492; 14503; 14477; 14500; 14493; 14490; 14518; 14498; 14489; 14445; 14512; 14525; 14494; 14500; 14506; 14532; 14504; 14474; 14504; 14543; 14524; 14480; 14474; 14504; 14498; 14486; 14495; 14535; 14481; 14489; 14474; 14498; 14495; 14496; 14494; 14506; 14507; 14484; 14492; 14482; 14491; 14508; 14513; 14484; 14515; 14483; 14475; 14492; 14514; 14486; 14480; 14509; 14483; 14480; 14489; 14485; 14486; 14477; 14500; 14516; 14512; 14464; 14514; 14465; 14493; 14491; 14502; 14531; 14515; 14491; 14486; 14496; 14514; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 7776; 
900; 16599; 16578; 16618; 16579; 16587; 16574; 16601; 16559; 16595; 16575; 16597; 16578; 16557; 16599; 16588; 16570; 16565; 16595; 16626; 16600; 16558; 16568; 16564; 16604; 16585; 16586; 16576; 16581; 16579; 16589; 16569; 16584; 16569; 16579; 16577; 16554; 16557; 16598; 16608; 16569; 16591; 16600; 16566; 16583; 16570; 16573; 16578; 16602; 16609; 16610; 16579; 16590; 16575; 16585; 16593; 16583; 16587; 16564; 16594; 16622; 16594; 16573; 16552; 16601; 16587; 16584; 16586; 16595; 16588; 16569; 16582; 16583; 16576; 16581; 16585; 16577; 16602; 16605; 16564; 16586; 16547; 16557; 16557; 16573; 16553; 16592; 16581; 16573; 16571; 16578; 16581; 16562; 16577; 16584; 16564; 16599; 16558; 16584; 16592; 16580; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 8876; 
1000; 18672; 18680; 18704; 18683; 18681; 18687; 18693; 18691; 18699; 18701; 18707; 18694; 18688; 18712; 18708; 18673; 18686; 18654; 18668; 18651; 18662; 18701; 18698; 18683; 18696; 18693; 18660; 18711; 18727; 18656; 18710; 18694; 18689; 18664; 18695; 18703; 18704; 18711; 18649; 18683; 18695; 18659; 18672; 18682; 18681; 18703; 18673; 18641; 18690; 18707; 18678; 18709; 18692; 18696; 18654; 18679; 18714; 18660; 18674; 18682; 18663; 18681; 18680; 18684; 18693; 18697; 18693; 18679; 18688; 18691; 18693; 18673; 18677; 18691; 18666; 18657; 18675; 18681; 18679; 18684; 18666; 18687; 18679; 18666; 18696; 18683; 18670; 18705; 18694; 18679; 18670; 18672; 18699; 18674; 18657; 18678; 18684; 18680; 18693; 18685; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 9976; 
