n; comparisons; ; ; ; ; ; ; ; ; ; moves;
100; 1054; 1298; 958; 992; 1094; 1128; 1489; 968; 1151; 1070; 369; 527; 353; 391; 431; 495; 631; 325; 445; 385; 
200; 2753; 2507; 2349; 2505; 2562; 2428; 2511; 2429; 2355; 2240; 1061; 892; 824; 996; 978; 952; 1023; 976; 897; 820; 
300; 3746; 4661; 4147; 3836; 4083; 4132; 4060; 4125; 4248; 3714; 1391; 1852; 1617; 1442; 1615; 1515; 1570; 1587; 1466; 1307; 
400; 6001; 5885; 5096; 5728; 5666; 5635; 5683; 5862; 5677; 5790; 2296; 2143; 1868; 2244; 2068; 2230; 2073; 2194; 1994; 1997; 
500; 7697; 7649; 7424; 7969; 7881; 7620; 7181; 7318; 7935; 7298; 2922; 2633; 2553; 2801; 3050; 2925; 2540; 2648; 3115; 2837; 
600; 9964; 8701; 9644; 10024; 8936; 8503; 9926; 8869; 9582; 10035; 3792; 3152; 3720; 4010; 3411; 3153; 3705; 3325; 3332; 3445; 
700; 10691; 11925; 10717; 10549; 10950; 11340; 11671; 11166; 11298; 11168; 3816; 4847; 3989; 3815; 4096; 4329; 4342; 4157; 3876; 4237; 
800; 13752; 12479; 14004; 12379; 13393; 12673; 12572; 14067; 12401; 13029; 4816; 4444; 5321; 4513; 4709; 4595; 4487; 5201; 4095; 4923; 
900; 13821; 14582; 15139; 14826; 15002; 16242; 14656; 15374; 14692; 15863; 4923; 5515; 5505; 5553; 5601; 6247; 5248; 5619; 5220; 5692; 
1000; 17481; 17507; 18334; 16867; 18658; 15819; 17258; 15699; 17276; 19144; 6310; 6511; 7175; 6291; 7241; 5376; 6040; 5605; 6344; 7449; 
