n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; moves;
100; 1018; 910; 1082; 999; 1077; 1017; 1112; 1038; 927; 943; 1015; 989; 915; 1045; 975; 1198; 1012; 1024; 1077; 1036; 995; 986; 966; 1112; 981; 1035; 1099; 1003; 914; 1090; 942; 1145; 1106; 1005; 1404; 1184; 1106; 966; 1271; 1195; 1151; 1024; 1161; 982; 954; 968; 1219; 1040; 953; 939; 1293; 1000; 1086; 973; 976; 1239; 948; 1068; 1070; 1194; 1136; 1156; 1157; 1248; 1078; 1075; 1036; 1300; 1016; 1093; 932; 959; 1102; 1062; 1049; 987; 1164; 1025; 1126; 968; 979; 1152; 876; 1068; 1104; 937; 1234; 1052; 995; 1064; 1013; 995; 1016; 1334; 1072; 1032; 1001; 1014; 1097; 999; 376; 330; 414; 401; 393; 345; 474; 403; 350; 361; 397; 340; 356; 415; 404; 501; 419; 382; 384; 429; 389; 369; 360; 401; 354; 398; 483; 396; 341; 421; 348; 467; 396; 369; 572; 497; 412; 385; 523; 427; 474; 353; 420; 379; 381; 344; 536; 413; 338; 358; 425; 386; 451; 323; 340; 430; 350; 448; 435; 473; 435; 430; 461; 528; 454; 429; 404; 513; 425; 444; 365; 355; 412; 419; 417; 398; 446; 405; 424; 310; 360; 431; 316; 432; 450; 366; 428; 366; 409; 428; 387; 358; 360; 517; 430; 381; 373; 390; 412; 346; 
200; 2284; 2458; 2399; 2443; 2458; 2507; 2473; 2685; 2574; 2269; 2655; 2362; 2288; 2300; 2255; 2483; 2419; 2268; 2201; 2814; 2568; 2418; 2468; 2568; 2591; 2682; 2467; 2188; 2378; 2594; 2357; 2618; 2773; 2515; 2239; 2496; 2497; 2537; 2399; 2456; 2389; 2647; 2574; 2956; 2675; 2366; 2779; 2403; 2693; 2278; 2501; 2331; 2478; 2539; 2723; 2411; 2492; 2483; 2144; 2620; 2182; 2576; 2441; 2486; 2533; 2414; 2304; 2906; 2540; 2365; 2328; 2392; 2408; 2449; 2774; 2589; 2349; 2777; 2516; 2465; 2463; 2233; 2540; 2407; 2465; 2745; 2440; 2377; 2439; 2864; 2911; 2069; 2584; 2509; 2463; 2431; 2300; 2430; 3235; 2408; 831; 951; 899; 892; 982; 945; 955; 948; 964; 846; 1057; 870; 859; 686; 821; 944; 899; 890; 818; 1037; 1043; 928; 963; 1072; 928; 1106; 960; 798; 832; 965; 892; 1014; 1118; 824; 697; 897; 944; 905; 832; 959; 916; 976; 1065; 1052; 999; 881; 1042; 885; 1026; 892; 975; 920; 871; 996; 988; 908; 797; 860; 722; 974; 751; 1007; 893; 959; 960; 943; 765; 1189; 985; 914; 891; 891; 910; 925; 1140; 954; 897; 1141; 925; 835; 902; 778; 1013; 924; 962; 1067; 924; 809; 885; 1176; 1216; 719; 1025; 932; 912; 884; 714; 908; 1322; 968; 
300; 4093; 3497; 3774; 4524; 3674; 4110; 3586; 4414; 3954; 4039; 4216; 3682; 4652; 4078; 4019; 5097; 4259; 4220; 4285; 4156; 4429; 4135; 3833; 4369; 3959; 4195; 3856; 4659; 4582; 4133; 3713; 3834; 3962; 4158; 3999; 3992; 3794; 4479; 4262; 4022; 4750; 4380; 3961; 3832; 3844; 4505; 3936; 4003; 4355; 3829; 4264; 4216; 3956; 4077; 4901; 3942; 4158; 4156; 3916; 4875; 4255; 3749; 4041; 4015; 4491; 3736; 4461; 4178; 4102; 4327; 4172; 4479; 3939; 3711; 4216; 3934; 4152; 3948; 4151; 4227; 3705; 4655; 4064; 4283; 4179; 3592; 3718; 4798; 3999; 4013; 3966; 4388; 4280; 4312; 4340; 4510; 4064; 4614; 3957; 4266; 1490; 1184; 1290; 1582; 1345; 1520; 1224; 1623; 1493; 1547; 1534; 1303; 1770; 1582; 1487; 1898; 1642; 1416; 1567; 1471; 1758; 1679; 1435; 1704; 1400; 1405; 1362; 1755; 1718; 1537; 1287; 1428; 1490; 1641; 1450; 1407; 1367; 1822; 1741; 1448; 1881; 1791; 1461; 1248; 1421; 1794; 1446; 1436; 1456; 1387; 1631; 1593; 1479; 1432; 2047; 1394; 1347; 1616; 1484; 1676; 1525; 1425; 1545; 1410; 1803; 1324; 1682; 1511; 1445; 1463; 1689; 1628; 1312; 1445; 1653; 1511; 1469; 1375; 1490; 1641; 1472; 1903; 1511; 1626; 1562; 1263; 1404; 2046; 1452; 1493; 1254; 1472; 1616; 1744; 1712; 1823; 1510; 1718; 1498; 1569; 
400; 6478; 6445; 5538; 5793; 6526; 5694; 5383; 5509; 5377; 5448; 5858; 5464; 5779; 6322; 5780; 5661; 5960; 5580; 5871; 5237; 5620; 5814; 6781; 5382; 5994; 6001; 6221; 6388; 6026; 6361; 5313; 5607; 5997; 5468; 5593; 5372; 5713; 5961; 5983; 5322; 5831; 5727; 5672; 5346; 5323; 5326; 6088; 5596; 5929; 6631; 5826; 6277; 5763; 5756; 5380; 6555; 5142; 5853; 5984; 5758; 5765; 5389; 5267; 5749; 6317; 5454; 5971; 5230; 5198; 5542; 6661; 5103; 6825; 5318; 6755; 5497; 5798; 5701; 5326; 6051; 5386; 5661; 5548; 5485; 5816; 5404; 5672; 5544; 5880; 5953; 5831; 6602; 5314; 5155; 6215; 5758; 6718; 6156; 5622; 5506; 2347; 2609; 2002; 2199; 2340; 2176; 1852; 2054; 2027; 1942; 2259; 1975; 2107; 2367; 2193; 2187; 2301; 2162; 2239; 1904; 2155; 2117; 2747; 1938; 2250; 2360; 2085; 2434; 2150; 2629; 1836; 1917; 2326; 2028; 2053; 1878; 2059; 2226; 2117; 1951; 2152; 2029; 1952; 1926; 1906; 1846; 2152; 2030; 2373; 2506; 2109; 2338; 2024; 2142; 2088; 2548; 1765; 2158; 2345; 2013; 2232; 1870; 1979; 2273; 2238; 1812; 2297; 1901; 1928; 2147; 2330; 1952; 2737; 1900; 2527; 1937; 2092; 2068; 2006; 2288; 1994; 2202; 2089; 2067; 2261; 1772; 2082; 1956; 2003; 2404; 2361; 2281; 1893; 1710; 2512; 2037; 2328; 2322; 2119; 2113; 
500; 7398; 8176; 6967; 8289; 8168; 7684; 7256; 8328; 7036; 7114; 7180; 7844; 7318; 7316; 8140; 7537; 6582; 7229; 7250; 7775; 9394; 7280; 7117; 6681; 7299; 7305; 8243; 7247; 8084; 8194; 7445; 7344; 7927; 6638; 7554; 8605; 7554; 8265; 8136; 9325; 7683; 8036; 6979; 7112; 8795; 8556; 8365; 7680; 8246; 8316; 7246; 6890; 7681; 6922; 7796; 6915; 8064; 7715; 8079; 8068; 7486; 7731; 6959; 7677; 7611; 7285; 7250; 7214; 7720; 7619; 7440; 7968; 7834; 7506; 8641; 7760; 7145; 7484; 7993; 8066; 7442; 6871; 7420; 7583; 8396; 7554; 6780; 7911; 6982; 7708; 8531; 6862; 7762; 7744; 6979; 7170; 6736; 7816; 7407; 7193; 2509; 3061; 2561; 2876; 3209; 2661; 2564; 2918; 2507; 2702; 2552; 3006; 2766; 2623; 2362; 2545; 2314; 2560; 2757; 2825; 3591; 2689; 2457; 2412; 2658; 2809; 3236; 2415; 3140; 3079; 2543; 2705; 2802; 2390; 2958; 3191; 2671; 3093; 3211; 3451; 2993; 3062; 2399; 2621; 3512; 3169; 3181; 2779; 2696; 3291; 2670; 2516; 2920; 2420; 2888; 2468; 3153; 2735; 3127; 2802; 2851; 2914; 2478; 2621; 2727; 2790; 2701; 2645; 2734; 2642; 2872; 2846; 3011; 2926; 3274; 2790; 2639; 2857; 3188; 2990; 2971; 2425; 2823; 2390; 3320; 2776; 2350; 3043; 2462; 2727; 3381; 2267; 2763; 2676; 2465; 2670; 2459; 2784; 2593; 2694; 
600; 9150; 8649; 8880; 9719; 8756; 10079; 10607; 8588; 10116; 11329; 8743; 9645; 9660; 9225; 9802; 10393; 9208; 9743; 8249; 9465; 8535; 9477; 9937; 10241; 9212; 8503; 11051; 10720; 8621; 10215; 8955; 10263; 9021; 8584; 9320; 9320; 9200; 9026; 9333; 8815; 9912; 9102; 9730; 9957; 9536; 10043; 10101; 10247; 10438; 10352; 9290; 8573; 8633; 9517; 9207; 9006; 8815; 10009; 8856; 9587; 8536; 9435; 9550; 9076; 9500; 9088; 9352; 9497; 8575; 9334; 8541; 9533; 9066; 9143; 9104; 9358; 9584; 9588; 9341; 10492; 8822; 8518; 9019; 8937; 9558; 9377; 9632; 8788; 9724; 9624; 9668; 9422; 8481; 9927; 9051; 8957; 9875; 9902; 9080; 8800; 3347; 3201; 3058; 3573; 3194; 3542; 3940; 3035; 3967; 4088; 2911; 3486; 3755; 3620; 3597; 3804; 3225; 3554; 2803; 3434; 3039; 3541; 3829; 3731; 3519; 2876; 4432; 4249; 2868; 3896; 3360; 3551; 3312; 3114; 3346; 3430; 3063; 2982; 3644; 3245; 3841; 3186; 3431; 3747; 3685; 3768; 3521; 3631; 4131; 3865; 3655; 3118; 3051; 3720; 2817; 3058; 3011; 3760; 3087; 3405; 3144; 3468; 3270; 3381; 3584; 3195; 3510; 3697; 2680; 3465; 3063; 3579; 3094; 3527; 2817; 3631; 3592; 3721; 3198; 3487; 3298; 3062; 3177; 3376; 3557; 3387; 3717; 3210; 3666; 3266; 3644; 3248; 2867; 3739; 3146; 3265; 4024; 3763; 3344; 3330; 
700; 12252; 10745; 10608; 11425; 11167; 13005; 10692; 11984; 10582; 10129; 10804; 10925; 10404; 11166; 11642; 10498; 11088; 11319; 10989; 11791; 10681; 10602; 10437; 10020; 10289; 11567; 10325; 11488; 11603; 12314; 10908; 11389; 11371; 11159; 11442; 10888; 11803; 10329; 11150; 10774; 11985; 10880; 11556; 11232; 11006; 10425; 11355; 10306; 11197; 11225; 11125; 11776; 10820; 10867; 10893; 10593; 11235; 12231; 11159; 12581; 11227; 12115; 11868; 10739; 12901; 11527; 11100; 10540; 11780; 12333; 11629; 11612; 11431; 11021; 11808; 12362; 10432; 10282; 10923; 11415; 11414; 12026; 11120; 11381; 10871; 11005; 10634; 11299; 11732; 13077; 10925; 13238; 11617; 13079; 11085; 11665; 12014; 13817; 10826; 10895; 4731; 3748; 3843; 4267; 4292; 5081; 3975; 4508; 3844; 3563; 3918; 3942; 3727; 4274; 4104; 3577; 4109; 4237; 3933; 4522; 3752; 3783; 3668; 3430; 3891; 4177; 3869; 4304; 4252; 4730; 3721; 4298; 4294; 4259; 4462; 4021; 4341; 3460; 4429; 3989; 4516; 4026; 3777; 3896; 4118; 3867; 4303; 3690; 4019; 3955; 3978; 4429; 4119; 4011; 4148; 3579; 4166; 4874; 3883; 5111; 4305; 4398; 4791; 3997; 4761; 4200; 4377; 3485; 4270; 4656; 4391; 3917; 4392; 3809; 4002; 4480; 3755; 3639; 3917; 4086; 3828; 4677; 4209; 4108; 3929; 4168; 3836; 4220; 4653; 5206; 3795; 4801; 4359; 4332; 4047; 4363; 4489; 5366; 4079; 3895; 
800; 14468; 13127; 12871; 11748; 12974; 13298; 13669; 12968; 14815; 13674; 14506; 13010; 12542; 13033; 12839; 13773; 15187; 13669; 13237; 13175; 12941; 12785; 12207; 14785; 13051; 13031; 12436; 12958; 12420; 13692; 13129; 14390; 13698; 11911; 13119; 13012; 13916; 13710; 12276; 14041; 13314; 12727; 12640; 13857; 13976; 13853; 13712; 12438; 12791; 13450; 13160; 12039; 13265; 12181; 13309; 14408; 14278; 13494; 13170; 12298; 12708; 13721; 12826; 12281; 13393; 11885; 13138; 12330; 12888; 13252; 14021; 12942; 12500; 12061; 12715; 12042; 13080; 12259; 12808; 12224; 12352; 12690; 12412; 12294; 11785; 14068; 13879; 13056; 12567; 14107; 13085; 13666; 15285; 12985; 12397; 14961; 13861; 12292; 14125; 12286; 5580; 4737; 4647; 3882; 4574; 5100; 4918; 4899; 5610; 5210; 5204; 4598; 4324; 5024; 4122; 5432; 5253; 5334; 4824; 5158; 4496; 4530; 4519; 5479; 4744; 5012; 4320; 4422; 4131; 4527; 4907; 5597; 5276; 4271; 5158; 4885; 4819; 5252; 4162; 5215; 4957; 4581; 4722; 5444; 5362; 5430; 5084; 4079; 4352; 4914; 5122; 4389; 4964; 4200; 5068; 5227; 5605; 5001; 4767; 4525; 4369; 5218; 4288; 4340; 5212; 4255; 4561; 4526; 4886; 4799; 5117; 4917; 4387; 4153; 4014; 4386; 4683; 4330; 4818; 4268; 4024; 4824; 4441; 4215; 4303; 5524; 5180; 4183; 4142; 4584; 4922; 4501; 5867; 4846; 4513; 5998; 5390; 4452; 5421; 4506; 
900; 14889; 15073; 18059; 17618; 15614; 15717; 16373; 14797; 19167; 13527; 13476; 16200; 15496; 14660; 14972; 16106; 15744; 15352; 16097; 15234; 14612; 14242; 14312; 14692; 15380; 15459; 14082; 14811; 13630; 20752; 16073; 14623; 14351; 14867; 14329; 15035; 14928; 14795; 14510; 14549; 16207; 14633; 15031; 16229; 15386; 14275; 14677; 16624; 14231; 15078; 15562; 17262; 17577; 16617; 15076; 15831; 15222; 18134; 14778; 15698; 15198; 15890; 14768; 15426; 16719; 15224; 14500; 15657; 15424; 15910; 15934; 17092; 16140; 14659; 16145; 15789; 14636; 16355; 15108; 15733; 14507; 14252; 17498; 17163; 15893; 14548; 15235; 15053; 14865; 15469; 16014; 14694; 15290; 15363; 13919; 15295; 15086; 15690; 14201; 15554; 5706; 5668; 6974; 6685; 5991; 5840; 6041; 5473; 7434; 4698; 4903; 5748; 5605; 5481; 5397; 5142; 5969; 5425; 6192; 5370; 5333; 5110; 5205; 5351; 5540; 5871; 4980; 5717; 4929; 8571; 5445; 5313; 5448; 5556; 5189; 5707; 5385; 5459; 4923; 5185; 6299; 4848; 5656; 6053; 5337; 5234; 5372; 6378; 5330; 5905; 5304; 5768; 7020; 6158; 5196; 5435; 4731; 7397; 5451; 5732; 5165; 6256; 5238; 5380; 6398; 5332; 4871; 6154; 5787; 6297; 5835; 6362; 5892; 5402; 6356; 5578; 4904; 5730; 5513; 5670; 5345; 4859; 6269; 6144; 5629; 5327; 5381; 5596; 5764; 5607; 5403; 5240; 5342; 5769; 4845; 5909; 5274; 5732; 4972; 5410; 
1000; 18486; 16192; 16630; 17821; 19562; 16599; 16404; 17449; 15965; 16878; 16921; 16358; 15736; 17550; 17159; 18066; 16405; 16853; 17351; 16790; 16150; 19382; 17940; 18325; 16626; 15976; 16924; 17620; 16709; 16538; 17460; 17867; 15965; 17392; 16718; 17198; 19654; 15866; 18408; 15725; 16841; 18827; 16935; 16697; 18930; 18726; 16635; 17505; 17877; 19483; 18670; 16092; 17065; 17113; 16078; 16218; 16202; 15608; 18334; 16397; 17290; 17335; 16998; 15981; 16702; 17428; 16870; 16204; 16821; 17371; 15889; 16909; 17875; 16417; 18907; 17213; 18280; 19214; 16794; 16866; 15769; 16989; 18564; 18387; 17697; 16306; 16705; 18308; 17949; 15872; 16866; 16965; 17704; 17280; 17957; 15880; 17486; 15225; 20282; 18759; 6690; 5973; 6199; 6866; 6730; 5819; 5689; 6577; 5600; 6054; 5652; 5772; 5314; 6589; 5767; 6803; 6125; 6242; 6569; 6349; 6239; 7412; 6761; 6860; 5742; 5673; 6022; 6339; 6061; 5771; 6236; 6504; 5786; 6841; 6085; 6203; 6803; 5977; 6905; 5291; 5877; 6672; 6021; 5774; 7534; 6576; 5505; 6539; 6343; 7608; 7535; 5417; 6436; 6204; 5573; 5824; 5215; 5594; 6800; 5954; 6466; 6112; 6140; 5736; 5776; 6593; 6184; 5766; 5516; 6599; 5863; 6096; 6654; 6072; 6807; 6435; 7016; 7436; 5937; 6114; 5523; 6378; 6880; 7128; 6491; 5862; 6199; 6422; 6733; 5928; 5706; 6068; 6094; 6247; 6455; 6052; 6096; 5500; 7800; 7481; 
