n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; swaps;
100; 213; 389; 349; 318; 334; 412; 436; 268; 298; 329; 149; 193; 475; 300; 314; 138; 218; 180; 441; 189; 283; 296; 267; 392; 191; 394; 220; 571; 375; 227; 232; 585; 215; 335; 354; 168; 163; 467; 354; 255; 370; 377; 202; 291; 285; 185; 244; 290; 393; 397; 97; 170; 212; 181; 110; 230; 281; 190; 119; 167; 64; 103; 333; 141; 99; 67; 90; 63; 332; 58; 189; 160; 159; 202; 87; 184; 116; 373; 224; 159; 103; 297; 68; 252; 259; 68; 92; 369; 219; 141; 245; 169; 116; 149; 175; 108; 120; 125; 306; 154; 
200; 637; 406; 520; 793; 467; 1023; 885; 690; 885; 679; 601; 782; 667; 918; 588; 458; 847; 688; 675; 337; 919; 681; 629; 678; 732; 615; 771; 544; 677; 618; 796; 942; 449; 731; 392; 417; 822; 586; 566; 712; 646; 476; 1107; 840; 913; 468; 408; 434; 475; 724; 281; 188; 376; 339; 210; 564; 547; 273; 426; 559; 215; 528; 187; 536; 258; 234; 581; 238; 402; 113; 444; 396; 531; 406; 351; 345; 528; 251; 314; 212; 232; 497; 249; 535; 249; 145; 406; 410; 377; 503; 243; 185; 279; 444; 662; 235; 210; 243; 244; 541; 
300; 1211; 300; 944; 1305; 661; 787; 647; 810; 1693; 938; 963; 1177; 940; 567; 553; 1176; 670; 1242; 523; 438; 787; 635; 971; 1100; 1048; 1002; 686; 1258; 842; 907; 500; 888; 1239; 628; 1017; 966; 1345; 812; 688; 1202; 855; 771; 1308; 1011; 1411; 914; 1364; 775; 676; 782; 541; 223; 320; 575; 411; 566; 384; 490; 859; 463; 418; 843; 534; 466; 346; 552; 285; 477; 363; 290; 391; 533; 390; 598; 495; 326; 426; 464; 570; 531; 323; 345; 521; 372; 799; 417; 648; 613; 521; 545; 431; 475; 641; 567; 716; 452; 624; 521; 369; 485; 
400; 1009; 926; 474; 693; 1625; 542; 577; 982; 419; 412; 718; 950; 493; 513; 465; 671; 907; 607; 1042; 466; 1237; 759; 791; 910; 683; 997; 1054; 1038; 591; 814; 745; 964; 612; 473; 1276; 487; 462; 588; 1789; 789; 1088; 482; 824; 577; 498; 530; 1034; 1393; 644; 771; 408; 404; 402; 403; 407; 406; 407; 405; 402; 401; 405; 404; 404; 405; 403; 405; 405; 404; 408; 403; 405; 404; 405; 407; 404; 405; 406; 411; 404; 405; 407; 407; 406; 404; 406; 404; 403; 403; 408; 404; 405; 403; 405; 402; 406; 405; 405; 406; 406; 402; 
500; 2161; 1449; 1488; 2062; 1875; 1437; 1356; 1177; 2144; 1409; 1670; 1027; 1807; 1196; 1804; 1442; 1511; 2337; 1612; 1485; 1865; 1799; 1281; 1512; 995; 1545; 1102; 954; 1098; 1199; 863; 1607; 1444; 1344; 742; 1018; 2006; 1415; 1397; 1210; 1645; 1113; 1085; 989; 1362; 1177; 1958; 975; 900; 1147; 1475; 505; 646; 1439; 1313; 404; 659; 453; 927; 727; 291; 408; 873; 603; 546; 412; 973; 761; 756; 946; 846; 694; 738; 839; 383; 705; 699; 451; 576; 276; 209; 1099; 453; 571; 338; 541; 1156; 829; 811; 421; 580; 413; 168; 524; 443; 665; 977; 322; 386; 744; 
600; 908; 1206; 1170; 1637; 679; 920; 2354; 785; 995; 1831; 1266; 1014; 705; 1509; 1199; 2706; 1352; 1106; 881; 2340; 1015; 1200; 1660; 1245; 675; 1595; 3126; 1299; 1805; 775; 1806; 1609; 1359; 768; 1153; 1058; 756; 898; 1224; 1362; 1183; 757; 1681; 1937; 1191; 2075; 1705; 884; 1225; 2670; 329; 622; 542; 970; 71; 329; 1206; 172; 314; 670; 380; 323; 105; 925; 602; 1878; 715; 386; 294; 1526; 414; 602; 1075; 603; 95; 1003; 2285; 715; 1162; 183; 1162; 1010; 763; 171; 578; 483; 160; 319; 635; 701; 592; 152; 1067; 1364; 599; 1448; 1103; 239; 571; 2024; 
700; 2540; 1915; 2079; 2074; 2591; 1722; 2217; 1565; 1584; 3147; 1574; 1390; 1513; 1904; 3541; 1130; 2087; 2013; 2895; 2004; 1883; 2147; 1437; 1096; 3263; 1647; 3360; 1975; 1545; 3753; 2273; 2453; 3325; 2447; 1587; 2536; 1399; 2121; 1839; 2123; 2947; 2713; 2650; 1697; 4516; 3255; 2071; 1890; 1737; 1598; 977; 1542; 823; 1200; 1311; 1161; 1265; 832; 770; 1689; 1258; 822; 685; 641; 1778; 699; 945; 1191; 1679; 821; 1058; 938; 816; 726; 1738; 795; 1379; 1362; 859; 1196; 1160; 1299; 922; 1387; 707; 1126; 742; 898; 1046; 645; 1016; 1429; 1600; 903; 1514; 1243; 777; 694; 725; 883; 
800; 2653; 2525; 2099; 2349; 1742; 3188; 1635; 2065; 3880; 1566; 3820; 2314; 2270; 3144; 3008; 2820; 2421; 4617; 3251; 3066; 2199; 1772; 2917; 2470; 1853; 2487; 3440; 1920; 1195; 1810; 2089; 1662; 2789; 2060; 3993; 2145; 2479; 2930; 1729; 3413; 2429; 1744; 1709; 1696; 2493; 3203; 3363; 2151; 3176; 1904; 969; 1148; 1513; 1411; 1290; 1284; 794; 1259; 2170; 721; 2376; 1331; 1192; 1041; 714; 1120; 1101; 2939; 1681; 1308; 951; 903; 846; 1430; 1412; 1001; 2590; 912; 663; 946; 1414; 952; 898; 1241; 942; 1023; 1540; 1804; 1207; 1848; 1108; 1107; 1174; 1060; 1667; 1543; 1614; 1222; 1617; 1088; 
900; 1749; 3264; 2136; 3523; 1808; 1693; 2591; 1838; 2703; 2575; 1930; 3140; 2521; 2233; 1413; 1383; 2157; 1909; 3012; 2695; 1105; 1972; 1240; 2525; 2006; 2004; 3142; 1721; 2162; 2763; 2332; 1899; 1395; 2340; 2179; 2086; 3237; 1038; 1850; 2931; 1970; 1083; 2518; 2093; 2411; 1759; 1790; 1963; 1200; 2325; 682; 2313; 1212; 1925; 782; 727; 1592; 901; 1808; 803; 1036; 2278; 1587; 1164; 515; 382; 1290; 979; 1282; 1805; 212; 938; 354; 887; 645; 1045; 2121; 843; 1234; 1765; 900; 974; 463; 1380; 780; 1107; 1768; 119; 902; 1997; 624; 178; 1639; 327; 1359; 835; 675; 1047; 310; 1432; 
1000; 3181; 3099; 2257; 4905; 2169; 1913; 3536; 2357; 2861; 2605; 1958; 2929; 3628; 3726; 3478; 1813; 1875; 3432; 3188; 2952; 1832; 2910; 6013; 1574; 3329; 3499; 4331; 1929; 3515; 1865; 3291; 3127; 3202; 4785; 1799; 2769; 2415; 2928; 2617; 2318; 3245; 4260; 2144; 3934; 4845; 3620; 2432; 3579; 3175; 4161; 1761; 1650; 1320; 2922; 779; 634; 1850; 1332; 1452; 964; 729; 1628; 1576; 2189; 1150; 994; 481; 1982; 1417; 1601; 458; 1428; 2244; 842; 1636; 2108; 1584; 600; 1478; 449; 1380; 1818; 1621; 2330; 796; 667; 1365; 1337; 1492; 1042; 1508; 3005; 989; 2023; 4111; 1412; 1154; 1512; 1226; 2601; 
