n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; swaps; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; duration;
100; 304; 251; 263; 272; 325; 267; 312; 289; 250; 288; 296; 310; 288; 302; 307; 324; 312; 259; 291; 338; 282; 252; 288; 242; 257; 116; 87; 96; 106; 126; 91; 118; 107; 93; 99; 115; 111; 106; 110; 119; 132; 122; 87; 112; 126; 112; 93; 104; 83; 90; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 
200; 623; 437; 598; 550; 595; 585; 528; 508; 591; 582; 525; 626; 539; 577; 435; 603; 593; 441; 581; 604; 523; 607; 437; 575; 603; 224; 148; 212; 184; 211; 210; 176; 165; 216; 210; 172; 227; 188; 205; 147; 219; 217; 149; 208; 217; 175; 223; 148; 206; 220; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 
300; 937; 897; 887; 887; 852; 878; 899; 917; 927; 935; 900; 836; 874; 899; 835; 890; 857; 907; 808; 877; 958; 867; 762; 922; 879; 335; 307; 312; 297; 306; 303; 309; 327; 328; 334; 305; 289; 309; 319; 291; 322; 314; 328; 272; 302; 364; 309; 264; 325; 304; 999,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 
400; 1194; 1191; 1181; 1234; 1161; 1160; 1208; 1184; 1192; 1179; 1183; 1173; 1158; 1196; 1187; 1191; 1196; 1233; 1145; 1159; 1147; 1194; 1206; 1123; 1168; 415; 425; 405; 417; 414; 403; 409; 426; 422; 414; 417; 404; 411; 407; 404; 419; 430; 416; 406; 408; 419; 426; 411; 387; 405; 0,0; 924,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1000,0; 0,0; 
500; 1494; 1508; 1474; 1503; 1501; 1413; 1416; 1429; 1490; 1467; 1459; 1501; 1503; 1441; 1472; 1578; 1476; 1509; 1517; 1472; 1344; 1484; 1465; 1476; 1458; 521; 518; 509; 515; 525; 478; 492; 487; 529; 512; 505; 528; 511; 493; 506; 555; 519; 512; 523; 518; 466; 523; 510; 518; 503; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 
600; 1861; 1870; 1757; 1751; 1762; 1831; 1864; 1844; 1717; 1801; 1770; 1822; 1748; 1754; 1790; 1839; 1771; 1830; 1804; 1726; 1800; 1750; 1802; 1720; 1803; 641; 651; 611; 602; 611; 642; 646; 635; 583; 617; 602; 613; 593; 598; 620; 632; 603; 634; 622; 594; 626; 601; 608; 588; 621; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 999,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 
700; 2128; 2091; 2134; 2044; 2105; 2094; 2018; 2076; 2022; 1964; 2102; 2058; 2192; 2045; 2088; 2091; 2091; 2092; 2087; 2058; 1989; 2107; 2072; 2041; 2106; 726; 720; 737; 704; 728; 712; 685; 708; 682; 646; 720; 684; 757; 700; 722; 717; 706; 714; 723; 702; 662; 737; 707; 701; 715; 0,0; 1000,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1002,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1000,0; 0,0; 0,0; 0,0; 
800; 2363; 2199; 2374; 2463; 2411; 2267; 2459; 2411; 2399; 2407; 2323; 2230; 2289; 2365; 2454; 2408; 2259; 2472; 2509; 2363; 2300; 2428; 2465; 2458; 2428; 809; 739; 805; 846; 830; 744; 849; 835; 826; 813; 786; 753; 775; 789; 861; 828; 732; 860; 883; 793; 769; 839; 854; 850; 837; 0,0; 0,0; 0,0; 0,0; 0,0; 997,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1002,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 
900; 2603; 2651; 2663; 2633; 2607; 2664; 2609; 2651; 2730; 2705; 2705; 2604; 2690; 2587; 2570; 2720; 2693; 2669; 2625; 2662; 2757; 2730; 2665; 2619; 2654; 897; 911; 914; 901; 876; 903; 898; 885; 927; 901; 928; 873; 915; 876; 867; 898; 875; 884; 897; 898; 948; 918; 886; 892; 887; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1003,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1054,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 
1000; 2974; 3008; 2948; 2968; 3083; 3080; 3158; 3043; 2939; 2952; 1499; 2981; 3104; 2968; 3012; 2989; 3092; 3036; 3121; 3037; 2996; 3046; 2963; 2948; 3038; 1005; 1023; 994; 999; 1028; 1066; 1091; 1033; 980; 989; 501; 1007; 1041; 1035; 1017; 1017; 1056; 1060; 1076; 1029; 1015; 1042; 995; 1015; 1030; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1000,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1007,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 992,0; 0,0; 
1100; 3268; 3306; 3274; 3291; 3255; 3348; 3345; 3313; 3330; 3328; 3330; 3174; 3178; 3170; 3241; 3395; 3214; 3340; 3204; 3230; 3265; 3240; 2938; 3363; 2926; 1104; 1123; 1114; 1113; 1094; 1159; 1132; 1120; 1131; 1124; 1131; 1072; 1047; 1070; 1113; 1149; 1090; 1141; 1081; 1098; 1100; 1078; 984; 1152; 983; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1002,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 999,0; 0,0; 0,0; 
1200; 3647; 3531; 3625; 3605; 3497; 3539; 3593; 3689; 3627; 3422; 3542; 3595; 3487; 3560; 3559; 3672; 3619; 3596; 3521; 3572; 3594; 3623; 3621; 3464; 3603; 1224; 1184; 1241; 1218; 1197; 1195; 1198; 1242; 1217; 1172; 1196; 1223; 1172; 1208; 1197; 1255; 1232; 1226; 1199; 1208; 1213; 1241; 1245; 1172; 1230; 0,0; 0,0; 0,0; 1054,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1002,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1000,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1008,0; 0,0; 0,0; 0,0; 
1300; 3828; 3896; 4032; 3897; 3903; 3856; 3981; 3842; 3878; 3818; 3907; 3924; 3818; 3937; 3844; 3891; 3939; 3880; 3935; 3897; 3809; 3979; 3905; 3808; 3833; 1299; 1292; 1377; 1303; 1304; 1291; 1366; 1304; 1291; 1253; 1303; 1339; 1304; 1328; 1298; 1323; 1346; 1318; 1319; 1309; 1261; 1337; 1300; 1292; 1282; 0,0; 992,0; 0,0; 0,0; 0,0; 0,0; 995,0; 0,0; 0,0; 0,0; 0,0; 1008,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1070,0; 0,0; 0,0; 
1400; 4216; 4172; 4192; 4149; 4206; 4169; 4120; 4140; 4222; 4112; 4110; 4266; 4228; 4274; 4180; 4242; 4182; 4177; 4242; 4163; 4214; 4189; 4109; 4140; 4209; 1439; 1425; 1428; 1412; 1407; 1432; 1384; 1391; 1425; 1383; 1375; 1460; 1442; 1476; 1423; 1437; 1423; 1433; 1432; 1416; 1439; 1420; 1363; 1387; 1448; 0,0; 906,0; 0,0; 0,0; 0,0; 0,0; 1002,0; 0,0; 0,0; 0,0; 0,0; 1007,0; 0,0; 0,0; 0,0; 0,0; 1005,0; 0,0; 0,0; 0,0; 0,0; 990,0; 0,0; 0,0; 0,0; 
1500; 4461; 4575; 4454; 4427; 4408; 4447; 4446; 4532; 4445; 4588; 4417; 4503; 4480; 4362; 4464; 4522; 4513; 4456; 4565; 4653; 4536; 4416; 4456; 4531; 4508; 1496; 1541; 1481; 1484; 1495; 1485; 1506; 1524; 1511; 1549; 1491; 1513; 1499; 1476; 1530; 1512; 1508; 1490; 1513; 1545; 1544; 1522; 1494; 1532; 1521; 985,0; 0,0; 0,0; 0,0; 0,0; 997,0; 0,0; 0,0; 0,0; 1002,0; 0,0; 0,0; 0,0; 0,0; 997,0; 0,0; 0,0; 0,0; 1000,0; 0,0; 0,0; 0,0; 0,0; 1002,0; 0,0; 
1600; 4818; 4729; 4859; 4814; 4888; 4764; 4792; 4775; 4733; 4793; 4745; 2388; 4821; 4825; 4867; 2388; 4799; 4746; 4799; 4870; 4786; 2388; 4874; 4807; 4829; 1621; 1596; 1681; 1624; 1641; 1615; 1594; 1596; 1585; 1614; 1605; 791; 1623; 1623; 1625; 790; 1609; 1595; 1626; 1638; 1611; 790; 1639; 1615; 1607; 0,0; 997,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 997,0; 0,0; 0,0; 0,0; 0,0; 1000,0; 0,0; 0,0; 0,0; 1000,0; 0,0; 0,0; 0,0; 1005,0; 0,0; 0,0; 
1700; 4997; 5129; 5040; 5134; 5031; 4988; 5002; 5041; 5043; 5099; 5025; 5135; 5235; 5056; 5070; 5196; 4778; 5136; 5076; 5073; 5041; 5145; 5057; 5031; 5089; 1669; 1747; 1695; 1736; 1685; 1678; 1697; 1690; 1697; 1716; 1658; 1719; 1794; 1698; 1728; 1720; 1633; 1751; 1728; 1709; 1693; 1730; 1703; 1700; 1759; 0,0; 1005,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 1008,0; 0,0; 0,0; 0,0; 994,0; 0,0; 0,0; 953,0; 0,0; 0,0; 0,0; 1002,0; 0,0; 0,0; 0,0; 995,0; 0,0; 
1800; 5402; 5235; 5388; 5227; 5311; 5458; 5425; 5420; 5486; 5330; 5295; 5358; 5320; 5274; 5351; 5340; 5392; 5359; 5381; 5472; 5252; 5316; 5378; 5277; 5424; 1823; 1789; 1827; 1744; 1807; 1848; 1842; 1855; 1869; 1806; 1781; 1804; 1788; 1772; 1802; 1812; 1820; 1815; 1796; 1842; 1760; 1813; 1828; 1763; 1811; 0,0; 1041,0; 0,0; 0,0; 957,0; 0,0; 0,0; 0,0; 0,0; 0,0; 960,0; 0,0; 0,0; 0,0; 1039,0; 0,0; 0,0; 1000,0; 0,0; 0,0; 1015,0; 0,0; 0,0; 995,0; 0,0; 
1900; 5622; 5627; 5675; 5714; 5689; 5717; 5656; 5751; 5665; 5682; 5696; 5655; 5667; 5716; 5678; 5716; 5664; 5634; 5702; 5739; 5836; 5736; 5604; 5744; 5600; 1886; 1910; 1928; 1934; 1922; 1905; 1915; 1952; 1901; 1921; 1927; 1907; 1892; 1927; 1906; 1910; 1906; 1902; 1935; 1925; 1923; 1939; 1903; 1919; 1872; 0,0; 989,0; 0,0; 0,0; 1007,0; 0,0; 0,0; 995,0; 0,0; 0,0; 997,0; 0,0; 956,0; 0,0; 1048,0; 0,0; 997,0; 0,0; 999,0; 0,0; 1003,0; 0,0; 0,0; 0,0; 0,0; 
2000; 6021; 5973; 5951; 6076; 6002; 5916; 6121; 5983; 6001; 6027; 6097; 5934; 5914; 6032; 6084; 5902; 5959; 6054; 6016; 5998; 5903; 5815; 6034; 6100; 5980; 2029; 2016; 2011; 2043; 2015; 1967; 2050; 1986; 2042; 2034; 2054; 2001; 1990; 2006; 2065; 1972; 2019; 2052; 2002; 2019; 1964; 1963; 2041; 2062; 2003; 0,0; 955,0; 0,0; 1000,0; 0,0; 0,0; 999,0; 0,0; 0,0; 1000,0; 0,0; 1000,0; 0,0; 0,0; 1000,0; 0,0; 0,0; 1018,0; 0,0; 982,0; 0,0; 0,0; 1000,0; 0,0; 0,0; 
2100; 6295; 6355; 6310; 6282; 6215; 6365; 6323; 6391; 6411; 6416; 6261; 6228; 6190; 6310; 6282; 6296; 6393; 6214; 6213; 6327; 6285; 6204; 6046; 6277; 6367; 2118; 2150; 2129; 2087; 2096; 2154; 2124; 2169; 2172; 2193; 2100; 2100; 2047; 2116; 2111; 2140; 2150; 2083; 2082; 2137; 2114; 2074; 2007; 2115; 2171; 0,0; 0,0; 997,0; 0,0; 1000,0; 0,0; 0,0; 1000,0; 0,0; 0,0; 0,0; 0,0; 1000,0; 0,0; 0,0; 0,0; 0,0; 1069,0; 0,0; 0,0; 0,0; 997,0; 0,0; 0,0; 0,0; 
2200; 6565; 6490; 6661; 6657; 6601; 6694; 6610; 6456; 6557; 6640; 6510; 6588; 6575; 6564; 6544; 6444; 6532; 6529; 6691; 6663; 6510; 6555; 6536; 6665; 6591; 2218; 2180; 2257; 2253; 2238; 2277; 2199; 2165; 2205; 2243; 2173; 2222; 2226; 2237; 2207; 2137; 2192; 2211; 2267; 2246; 2184; 2217; 2202; 2268; 2213; 0,0; 1000,0; 0,0; 1000,0; 0,0; 0,0; 1000,0; 0,0; 1000,0; 0,0; 0,0; 0,0; 0,0; 999,0; 0,0; 0,0; 1000,0; 0,0; 1000,0; 0,0; 0,0; 1000,0; 0,0; 0,0; 0,0; 
2300; 6923; 6813; 6993; 6903; 6858; 6899; 6893; 6797; 6932; 6919; 6957; 6973; 6845; 6882; 6833; 6997; 6807; 6807; 6890; 6906; 6950; 6850; 6697; 6961; 6903; 2347; 2270; 2371; 2329; 2302; 2319; 2318; 2265; 2343; 2330; 2357; 2351; 2308; 2309; 2279; 2363; 2280; 2286; 2315; 2327; 2354; 2285; 2229; 2351; 2335; 0,0; 1000,0; 0,0; 999,0; 0,0; 0,0; 0,0; 0,0; 999,0; 0,0; 0,0; 1002,0; 0,0; 999,0; 0,0; 0,0; 1000,0; 0,0; 999,0; 0,0; 0,0; 1000,0; 0,0; 1000,0; 0,0; 
2400; 7155; 7149; 7131; 7192; 7210; 6934; 7175; 7119; 7152; 7098; 7103; 7164; 7045; 7174; 7240; 7156; 7147; 7213; 7220; 7200; 7257; 7061; 7217; 7178; 7217; 2438; 2399; 2384; 2410; 2429; 2330; 2445; 2402; 2427; 2396; 2383; 2417; 2391; 2415; 2427; 2404; 2375; 2386; 2444; 2411; 2437; 2376; 2413; 2411; 2411; 1002,0; 0,0; 0,0; 997,0; 0,0; 1000,0; 0,0; 0,0; 0,0; 0,0; 1000,0; 0,0; 999,0; 0,0; 0,0; 1048,0; 0,0; 952,0; 0,0; 1000,0; 0,0; 0,0; 1000,0; 0,0; 1000,0; 
2500; 7492; 7621; 7272; 7666; 7398; 7436; 7236; 7703; 7327; 7441; 7484; 7433; 7382; 7474; 7467; 7594; 7503; 7435; 7437; 6950; 7519; 7438; 7620; 7579; 7560; 2520; 2579; 2422; 2604; 2468; 2491; 2459; 2630; 2435; 2490; 2522; 2485; 2476; 2514; 2507; 2573; 2526; 2487; 2485; 2319; 2527; 2482; 2575; 2560; 2557; 0,0; 1038,0; 0,0; 961,0; 0,0; 1000,0; 0,0; 999,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 999,0; 0,0; 1002,0; 0,0; 1034,0; 0,0; 0,0; 0,0; 0,0; 1041,0; 0,0; 
2600; 7921; 7881; 7903; 7709; 7881; 7744; 7749; 7728; 7797; 7708; 7896; 7673; 7727; 7664; 7612; 7713; 7838; 7627; 7776; 7814; 7871; 7747; 7860; 7861; 7673; 2688; 2662; 2667; 2568; 2677; 2594; 2620; 2597; 2637; 2597; 2672; 2553; 2597; 2590; 2547; 2604; 2654; 2538; 2588; 2634; 2679; 2616; 2666; 2640; 2582; 1016,0; 0,0; 1000,0; 0,0; 999,0; 0,0; 1010,0; 0,0; 992,0; 0,0; 995,0; 0,0; 1005,0; 0,0; 1005,0; 0,0; 992,0; 0,0; 1002,0; 0,0; 1000,0; 0,0; 995,0; 0,0; 1010,0; 
2700; 8163; 8128; 8205; 8114; 8223; 8065; 8131; 8141; 8135; 8155; 8027; 8044; 8116; 7930; 8128; 8127; 8247; 8075; 8079; 7998; 8043; 8120; 8128; 8054; 8069; 2770; 2724; 2754; 2698; 2758; 2698; 2771; 2740; 2755; 2744; 2676; 2692; 2750; 2645; 2720; 2706; 2749; 2716; 2708; 2682; 2717; 2733; 2721; 2696; 2702; 0,0; 1005,0; 0,0; 1059,0; 0,0; 1056,0; 0,0; 1000,0; 0,0; 999,0; 0,0; 1002,0; 0,0; 999,0; 0,0; 1007,0; 0,0; 929,0; 0,0; 1064,0; 0,0; 1018,0; 0,0; 1080,0; 0,0; 
