n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; reads;
10000; 164036; 164532; 187238; 170860; 168436; 169032; 166385; 165961; 165203; 160719; 191217; 170092; 170341; 163975; 170102; 169062; 168068; 163804; 170013; 166669; 170569; 170902; 193892; 177443; 175086; 175307; 173151; 172357; 171807; 167617; 197540; 176498; 177158; 170378; 177009; 175629; 174661; 170664; 177151; 173250; 
20000; 359124; 369844; 377476; 374306; 378858; 366240; 350676; 370652; 361721; 359295; 358247; 352144; 374906; 364203; 378902; 362424; 353642; 350531; 343758; 368725; 372263; 383431; 390826; 387581; 391872; 379195; 363938; 384124; 374905; 372654; 371617; 364688; 388361; 377253; 391894; 375310; 366947; 363788; 356985; 381849; 
30000; 549096; 560766; 580529; 570492; 605020; 584152; 552049; 552478; 555967; 546971; 560075; 557233; 569557; 552952; 570479; 558216; 554205; 591640; 561251; 581683; 569107; 580809; 600154; 591014; 624659; 603992; 571425; 572022; 575657; 566903; 579563; 577175; 589631; 572456; 589955; 577485; 573701; 612126; 581103; 601629; 
40000; 772186; 808002; 769903; 789522; 786159; 791444; 826568; 787210; 830860; 754568; 824919; 769494; 784271; 797523; 765639; 762966; 804431; 775416; 803828; 802764; 798980; 834166; 795577; 816631; 812929; 818017; 853226; 814139; 857657; 781231; 852052; 796571; 810692; 823710; 792470; 789423; 831186; 801981; 830130; 829248; 
50000; 1014885; 994634; 1027132; 1009233; 1006660; 980434; 1040333; 1120327; 1031842; 964267; 1012590; 1053963; 1003118; 965351; 1001272; 984253; 979458; 1001709; 973322; 1004555; 1048169; 1027458; 1060462; 1043189; 1040175; 1013205; 1073694; 1152969; 1064871; 997187; 1045459; 1086994; 1035574; 998081; 1034352; 1016779; 1012288; 1035163; 1006533; 1037224; 
60000; 1229835; 1201114; 1233605; 1236964; 1187790; 1232529; 1309393; 1229798; 1302514; 1182947; 1217325; 1198238; 1222965; 1211252; 1227916; 1246615; 1244533; 1224659; 1201194; 1195450; 1269792; 1239951; 1273058; 1276672; 1227827; 1271675; 1349700; 1269629; 1342424; 1222274; 1256029; 1237644; 1262477; 1250953; 1268030; 1285681; 1284392; 1264276; 1240780; 1235313; 
70000; 1402668; 1506848; 1458023; 1406886; 1459457; 1415122; 1526946; 1516527; 1438800; 1412337; 1424808; 1490599; 1459019; 1531224; 1448124; 1413474; 1519058; 1478728; 1418075; 1494820; 1448515; 1552412; 1504456; 1454137; 1506042; 1462093; 1573142; 1563302; 1485256; 1458548; 1471083; 1536693; 1505618; 1577735; 1495312; 1458741; 1565334; 1526273; 1464506; 1540612; 
80000; 1823646; 1676915; 1739202; 1719916; 1692773; 1773431; 1684635; 1699064; 1646829; 1649995; 1659064; 1637594; 1629765; 1648453; 1766839; 1693934; 1715546; 1673505; 1707297; 1659745; 1877053; 1729883; 1792346; 1771996; 1745756; 1826802; 1737926; 1752207; 1700052; 1702617; 1712316; 1690114; 1682876; 1700212; 1819360; 1747202; 1769343; 1726176; 1760732; 1712322; 
90000; 2041135; 1891585; 1919332; 1985794; 1832702; 1974496; 1907710; 1892764; 1890457; 1946804; 1981993; 1990914; 1844372; 1880651; 1958744; 1893596; 1836529; 1891541; 1973130; 1933142; 2100897; 1952219; 1979076; 2045889; 1892678; 2033449; 1966641; 1951590; 1950797; 2005628; 2041777; 2050986; 1903781; 1940944; 2018361; 1953297; 1896267; 1951205; 2032658; 1992240; 
100000; 2137069; 2151278; 2093587; 2141475; 2230421; 2143621; 2189982; 2177400; 2173987; 2170526; 2076610; 2089779; 2193314; 2071518; 2162079; 2154214; 2195357; 2111788; 2122774; 2261831; 2202218; 2217920; 2159543; 2207635; 2296586; 2210599; 2256630; 2244672; 2240518; 2237412; 2141677; 2156404; 2258629; 2137932; 2227806; 2219128; 2262010; 2177671; 2188395; 2328127; 
